Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.56,1.33,0.07,2.88,3.91,1.49,1.02,0.71,0
Operating Expenses,0.56,1.33,0.07,2.88,3.91,1.49,1.02,0.71,0
Operating Income,-0.56,-1.33,-0.07,-2.88,-3.91,-1.49,-1.02,-0.71,-0
Other Expense / Income,-4.33,-5.19,-2.33,-11.77,5.43,-5.86,2.62,-0.1,-
Pretax Income,3.77,3.86,2.25,8.88,-9.34,4.38,-3.65,-0.6,-0
Income Tax,-0.18,0.96,0,0,0,0,0,0,0
Net Income,3.95,2.9,2.25,8.88,-9.34,4.38,-3.65,-0.6,-0
Net Income Growth,-,-33.65%,-,-,-,-,-,-,-
Shares Outstanding (Basic),43,43,43,43,36,43,43,39,8
Shares Outstanding (Diluted),43,43,43,43,36,43,43,39,8
Shares Change,20.20%,-,0.22%,11.65%,378.36%,-,-,-,-
EPS (Basic),0.09,0.07,0.05,0.21,-0.27,0.11,-0.08,-0.02,-
EPS (Diluted),0.09,0.07,0.05,0.21,-0.27,0.11,-0.08,-0.02,-
EPS Growth,-,-36.36%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.02,0.04,-0.01,-0.00,-0.00,-0.00,-0.00,-0.03,-
Effective Tax Rate,-4.89%,24.79%,-,-,-,-,-,-,-
EBITDA,3.77,3.86,2.25,8.88,-9.34,4.38,-3.65,-0.6,-0
EBIT,3.77,3.86,2.25,8.88,-9.34,4.38,-3.65,-0.6,-0
