Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.97,0.27,0.18,0.3,0.25,1.12,5.11,0.17,0.23,0.01
Operating Expenses,0.97,0.27,0.18,0.3,0.25,1.12,5.11,0.17,0.23,0.01
Operating Income,-0.97,-0.27,-0.18,-0.3,-0.25,-1.12,-5.11,-0.17,-0.23,-0.01
Other Expense / Income,-1.13,1.44,-3.36,-0.11,-0.04,-0.02,-0.01,-0,-0.02,-
Pretax Income,0.16,-1.71,3.18,-0.2,-0.21,-1.1,-5.09,-0.16,-0.21,-0.01
Net Income,0.16,-1.71,3.18,-0.2,-0.21,-1.1,-5.09,-0.16,-0.21,-0.01
Shares Outstanding (Basic),15,19,19,19,19,19,19,19,8,100
Shares Outstanding (Diluted),15,19,19,19,19,19,19,19,8,-
Shares Change,-21.51%,2.63%,-,-,126.96%,-81.31%,-,-,-,-
EPS (Basic),0.01,-0.08,0.17,-0.01,-0.01,-0.05,-0.27,-0.01,-0.02,-
EPS (Diluted),0.01,-0.08,0.17,-0.01,-0.01,-0.05,-0.27,-0.01,-0.02,-
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.02,-0.00,-0.01,-0.01,-0.00,-0.09,-
EBITDA,0.16,-1.71,3.18,-0.2,-0.21,-1.1,-5.09,-0.16,-0.21,-0.01
EBIT,0.16,-1.71,3.18,-0.2,-0.21,-1.1,-5.09,-0.16,-0.21,-0.01
