Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
"Selling, General & Admin",0.32,0.42,0.62,0.88,0.62,0.86,0.6,0.32,-,0
Operating Expenses,0.32,0.42,0.62,0.88,0.62,0.86,0.6,0.32,-,0
Operating Income,-0.32,-0.42,-0.62,-0.88,-0.62,-0.86,-0.6,-0.32,-,0
Interest Expense / Income,0,0.03,0.05,0.05,0.04,0.01,0,0,-,0
Other Expense / Income,-3.48,-7.99,-7.2,-9.08,-8.16,-19.15,17.34,5.38,-,-
Pretax Income,3.16,7.53,6.53,8.15,7.5,18.28,-17.95,-5.7,-,0
Income Tax,0.67,0.52,0.1,0,0,0,0,0,-,0
Net Income,2.48,7.02,6.44,8.15,7.5,18.28,-17.95,-5.7,-,0
Net Income Growth,-66.90%,-61.61%,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),63,63,63,63,63,63,63,63,14,11
Shares Outstanding (Diluted),63,63,63,63,63,63,63,63,-,11
Shares Change,-,-,-,-,342.58%,455.56%,-,-,-,-
EPS (Basic),0.04,0.11,0.10,0.13,0.12,0.29,-0.29,-0.09,-,-
EPS (Diluted),0.04,0.11,0.10,0.13,0.12,0.29,-0.29,-0.09,-,-
EPS Growth,-66.67%,-62.07%,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.00,-0.01,-0.01,-0.00,-0.01,-0.01,-0.01,-0.01,-,-
Effective Tax Rate,21.33%,6.85%,1.47%,-,-,-,-,-,-,-
EBITDA,3.16,7.57,6.59,8.2,7.55,18.29,-17.95,-5.7,-,0
EBIT,3.16,7.57,6.59,8.2,7.55,18.29,-17.95,-5.7,-,0
