Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-12
"Selling, General & Admin",1.37,1.68,0.51,1.01,0.48,0.23,0.29,0.06,0.01
Operating Expenses,1.37,1.68,0.51,1.01,0.48,0.23,0.29,0.06,0.01
Operating Income,-1.37,-1.68,-0.51,-1.01,-0.48,-0.23,-0.29,-0.06,-0.01
Other Expense / Income,-2.42,-2.25,-4.99,-5.74,1.35,-3.76,-5.15,1.03,-
Pretax Income,1.05,0.57,4.48,4.73,-1.82,3.53,4.87,-1.09,-0.01
Net Income,1.05,0.57,4.48,4.73,-1.82,3.53,4.87,-1.09,-0.01
Net Income Growth,-,-83.90%,-7.87%,-,-,-,-,-,-
Shares Outstanding (Basic),36,36,36,36,30,36,36,11,6
Shares Outstanding (Diluted),36,36,36,36,30,36,36,11,6
Shares Change,19.67%,-,-,222.42%,378.85%,-,-,-,-
EPS (Basic),0.03,0.02,0.13,0.13,-0.08,0.10,0.14,-0.10,-
EPS (Diluted),0.03,0.02,0.13,0.13,-0.08,0.10,0.14,-0.10,-
EPS Growth,-,-80.00%,-7.14%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.00,-0.00,-0.01,-0.01,-0.00,0.00,-0.03,-0.00,-
EBITDA,1.05,0.57,4.48,4.73,-1.82,3.53,4.87,-1.09,-0.01
EBIT,1.05,0.57,4.48,4.73,-1.82,3.53,4.87,-1.09,-0.01
