Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31
Revenue,24.58,28.5,26.34,24.68,25.37,27.49,26.72,35.45,26.31,30,26.61,25.3,21.59,25.04,23.87,22.78,24.3,24.05,24.77,25.27,24.82,26.55,18.94,26.28,25.06,25.66,24.31,23.03,20.88,19.94,19.02,16.15,15.61,17.21,15.37,14.83,-
Revenue Growth (YoY),-3.10%,3.69%,-1.42%,-30.38%,-3.58%,-8.36%,0.41%,40.13%,21.87%,19.80%,11.44%,11.06%,-11.18%,4.12%,-3.62%,-9.84%,-2.09%,-9.42%,30.77%,-3.86%,-0.96%,3.46%,-22.09%,14.14%,20.02%,28.70%,27.83%,42.57%,33.75%,15.83%,23.73%,8.94%,-,-,-,-,-
Cost of Revenue,13.71,24.5,16.67,22.25,18.02,16.41,16.16,17.93,19.36,15.46,14.55,11.95,14.27,16.05,14.86,14.38,14.46,17.57,16.55,15.07,13.33,15.04,26.47,16.67,15.73,18.18,14.58,13.54,12.7,11.52,9.81,8.98,8.57,10.25,10.22,9.69,-
Gross Profit,10.87,4,9.67,2.43,7.35,11.08,10.56,17.53,6.95,14.54,12.05,13.36,7.32,8.99,9.02,8.4,9.85,6.49,8.22,10.2,11.5,11.51,-7.53,9.61,9.33,7.48,9.73,9.49,8.18,8.42,9.21,7.18,7.04,6.96,5.16,5.14,-
"Selling, General & Admin",4.72,4.76,6.23,5.73,5.46,7.63,7.17,6.9,6.75,6.92,6.48,6.4,6.3,6.96,6.15,6.21,5.59,6.1,6.45,6.47,6.51,6.69,6.66,6.43,6.47,7,6.27,6.01,6,6.34,4.61,2.64,2.6,4.21,3.74,3.52,-
Other Operating Expenses,4.28,5.78,4.38,4.47,4.16,3.74,4.08,4.34,4.35,4.03,4.54,4.86,5.05,4.62,4.3,4.34,4.32,4.41,4.79,4.3,4.19,3.99,4.47,4.37,4.53,4.21,4.71,4.54,4.14,4.17,3.33,3.62,3.69,2.6,3.43,3.21,0
Operating Expenses,9,10.54,10.61,10.2,9.62,11.37,11.25,11.24,11.1,10.95,11.02,11.25,11.35,11.58,10.45,10.55,9.91,10.5,11.24,10.78,10.7,10.68,11.13,10.8,11,11.21,10.98,10.55,10.14,10.51,7.93,6.26,6.29,6.81,7.17,6.73,-
Operating Income,1.87,-6.54,-0.95,-7.76,-2.28,-0.3,-0.69,6.29,-4.15,3.59,1.03,2.1,-4.03,-2.59,-1.43,-2.15,-0.07,-4.02,-3.02,-0.58,0.8,0.83,-18.65,-1.19,-1.67,-3.73,-1.24,-1.06,-1.96,-2.1,1.28,0.92,0.76,0.15,-2.01,-1.59,-
Interest Expense / Income,0.69,0.76,0.78,0.73,0.71,0.7,0.7,0.73,0.72,0.74,0.72,0.73,0.73,0.73,0.72,0.73,0.71,0.81,0.6,0.62,0.62,0.62,0.3,0.22,0.22,0.18,0.17,0.14,0.16,0.11,0.18,0.24,0.24,0.22,0.11,0.12,-
Other Expense / Income,0.18,-,-0.2,-0.09,-0.08,-0.21,-0.18,-0.18,-0.25,-0.42,-0.19,-0.18,-0.05,-0.17,-0.12,0.01,-0.11,-0.05,-0.09,-0.09,-0.06,0.02,0.08,-0.06,-0.1,-0.02,0.05,-0.07,-0.09,0.05,-0.18,0.05,0.05,-0.03,-0.02,0.01,-
