Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2019-12-31
Revenue,280.94,276.84,275.08,273.54,269.59,272.84,280.31,276.12,288.58,285.51,284.34,-
Revenue Growth (YoY),4.21%,1.47%,-1.87%,-0.93%,-6.58%,-4.44%,-1.42%,-,-,-,-,-
Cost of Revenue,-10.98,18.1,-40.31,-61.56,-10.45,5.97,34.12,30,55.37,89.05,44.48,-
Gross Profit,291.92,258.75,315.38,335.1,280.03,266.87,246.19,246.12,233.21,196.47,239.86,-
"Selling, General & Admin",51.71,59.96,54.52,58.2,54.26,55.63,55.15,63.05,57.62,59.55,54.99,-
Other Operating Expenses,2.64,2.75,3.34,3.23,3.09,3.6,3.67,3.6,3.84,9.49,3.87,0
Operating Expenses,54.35,62.7,57.86,61.43,57.35,59.23,58.82,66.65,61.46,69.04,58.87,-
Operating Income,237.58,196.04,257.52,273.67,222.68,207.64,187.37,179.47,171.75,127.43,180.99,-
Interest Expense / Income,13.07,13.26,12.88,12.79,12.78,12.77,12.76,12.75,12.74,12.73,5.51,-
Pretax Income,224.51,182.79,244.64,260.89,209.91,194.87,174.61,166.73,159.01,114.7,175.48,-
Income Tax,48.53,38.98,53.66,56.15,45.28,41.34,37.4,35.91,33.88,23.52,37.47,-
Net Income,175.99,143.81,190.99,204.74,164.63,153.53,137.21,130.81,125.13,91.18,138.02,-
Net Income Growth,6.90%,-6.34%,39.19%,56.51%,31.57%,68.38%,-0.58%,-,-,-,-,-
Shares Outstanding (Basic),162,163,163,163,163,163,163,163,163,163,163,163
Shares Outstanding (Diluted),163,164,163,163,163,163,163,163,163,163,163,-
Shares Change,0.08%,0.33%,0.32%,0.24%,0.13%,0.09%,0.01%,-,-,-,-,-
EPS (Basic),1.08,0.88,1.17,1.26,1.01,0.95,0.84,0.80,0.77,0.56,0.85,-
EPS (Diluted),1.08,0.88,1.17,1.25,1.01,0.95,0.84,0.80,0.77,0.56,0.85,-
EPS Growth,6.93%,-7.37%,39.29%,56.25%,31.17%,69.64%,-1.18%,-,-,-,-,-
Free Cash Flow Per Share,0.73,0.97,0.62,0.87,0.99,0.99,0.91,0.84,0.78,0.88,1.32,-
Dividend Per Share,-,1.260,0.140,0.140,-,1.230,-,-,-,-,-,0.620
Dividend Growth,-,2.44%,-,-,-,-,-,-,-,-,-,-
Gross Margin,103.91%,93.46%,114.65%,122.51%,103.87%,97.81%,87.83%,89.13%,80.81%,68.81%,84.36%,-
Operating Margin,84.57%,70.81%,93.62%,100.05%,82.60%,76.10%,66.84%,65.00%,59.51%,44.63%,63.65%,-
Profit Margin,62.64%,51.95%,69.43%,74.85%,61.07%,56.27%,48.95%,47.37%,43.36%,31.94%,48.54%,-
Free Cash Flow Margin,42.48%,57.23%,36.47%,51.53%,59.66%,59.02%,52.79%,49.28%,44.02%,50.37%,75.76%,-
Effective Tax Rate,21.61%,21.33%,21.93%,21.52%,21.57%,21.21%,21.42%,21.54%,21.31%,20.50%,21.35%,-
EBITDA,237.58,196.04,257.52,273.67,222.68,207.64,187.37,179.47,171.75,127.43,180.99,-
EBITDA Margin,84.57%,70.81%,93.62%,100.05%,82.60%,76.10%,66.84%,65.00%,59.51%,44.63%,63.65%,-
EBIT,237.58,196.04,257.52,273.67,222.68,207.64,187.37,179.47,171.75,127.43,180.99,-
EBIT Margin,84.57%,70.81%,93.62%,100.05%,82.60%,76.10%,66.84%,65.00%,59.51%,44.63%,63.65%,-
