Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30
Revenue,120.85,126.44,124.58,113.31,111.42,93.21,99.6,93.22,89.09,84.14,82.7,71.38,73.97,72.63,71.68,66.9,66.87,68.52,70.99,61.45,54.86,57.49,61,54.84,56.01,67.38,81.2,73.73,86.39,93.57,107.7,95.54,77.31,87.87,77.37
Revenue Growth (YoY),8.46%,35.65%,25.07%,21.55%,25.07%,10.77%,20.43%,30.60%,20.45%,15.86%,15.38%,6.69%,10.62%,6.00%,0.98%,8.86%,21.89%,19.18%,16.38%,12.07%,-2.06%,-14.68%,-24.88%,-25.62%,-35.17%,-27.99%,-24.60%,-22.83%,11.75%,6.49%,39.19%,-,-,-,-
Cost of Revenue,77.76,78.94,76.14,72.76,72.15,62.27,61.92,56.13,53.37,53.18,52.1,48.29,48.32,50.69,46.32,44.52,45.35,47.54,47.68,41.58,40.43,40.04,41.55,38.17,39.91,46.94,52.14,51.02,56.7,62.14,64.65,59.7,51.8,58.6,50.71
Gross Profit,43.09,47.5,48.44,40.55,39.28,30.93,37.69,37.09,35.72,30.96,30.61,23.09,25.65,21.94,25.36,22.38,21.52,20.98,23.31,19.88,14.43,17.45,19.44,16.67,16.1,20.44,29.06,22.71,29.69,31.43,43.05,35.84,25.51,29.27,26.66
"Selling, General & Admin",21.07,23.45,23.4,24.05,19.88,20.34,19.47,19.75,16.15,16.9,15.62,16.61,16.66,16.79,16.1,16.79,16.42,19.9,17.03,15.76,15.33,18.41,14.54,14.3,16.16,17.04,15.84,16.63,14.5,19.94,14.49,14.51,12.18,16.14,12.02
Other Operating Expenses,1.54,1.22,1.66,1.46,1.81,1.4,1.52,1.55,1.78,1.62,1.48,1.54,1.49,1.52,1.5,-4.5,1.51,1.47,1.58,1.46,1.46,20.52,1.53,1.64,1.75,4.3,1.53,1.53,1.53,1.53,1.89,1.63,1.63,2.01,0.93
Operating Expenses,22.61,24.66,25.06,25.51,21.69,21.74,20.99,21.3,17.93,18.52,17.1,18.15,18.15,18.31,17.6,12.29,17.93,21.37,18.61,17.22,16.79,38.92,16.07,15.94,17.9,21.34,17.36,18.16,16.03,21.47,16.37,16.15,13.81,18.14,12.95
Operating Income,20.48,22.84,23.38,15.04,17.59,9.2,16.7,15.79,17.79,12.45,13.51,4.94,7.5,3.63,7.75,10.09,3.59,-0.39,4.7,2.66,-2.36,-21.48,3.38,0.73,-1.81,-0.91,11.7,4.55,13.67,9.96,26.68,19.69,11.7,11.12,13.71
Interest Expense / Income,6.78,7.28,7.32,7.15,7.87,7.41,7.18,7.04,8.98,6.24,6.3,6.77,6.09,6.04,6.09,6.44,6.32,6.19,6.15,5.59,5.51,5.32,5.3,5.17,5.06,4.94,5.01,5.07,5.03,10.2,4.62,1.62,1.89,2.12,1.95
Other Expense / Income,-,0.08,-,-,-,-,-,-,5.05,0.05,-,0,0.12,0.12,0.07,1.35,-0.08,0.18,5.01,16.37,1.41,0.19,-0.41,-1.27,-0.07,0.23,0.12,-0.03,0.1,0.74,0.74,-0.1,-0.39,0.77,-0.45
Pretax Income,13.7,15.48,16.06,7.89,9.72,1.79,9.51,8.75,3.77,6.16,7.21,-1.84,1.29,-2.54,1.6,2.3,-2.65,-6.75,-6.47,-19.3,-9.28,-26.99,-1.52,-3.18,-6.8,-6.07,6.57,-0.49,8.53,-0.98,21.31,18.17,10.2,8.24,12.22
