Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",2.02,0.49,0.43,0.39,0.89,0.45,0.4,0.2,-
Operating Expenses,2.02,0.49,0.43,0.39,0.89,0.45,0.4,0.2,-
Operating Income,-2.02,-0.49,-0.43,-0.39,-0.89,-0.45,-0.4,-0.2,-
Other Expense / Income,-2.74,-2.37,-2.31,-3.16,-1.13,-6.11,3.63,-6.52,-
Pretax Income,0.72,1.88,1.88,2.77,0.25,5.66,-4.03,6.32,-
Income Tax,0.63,0.24,0.02,0,0,0,0,0,-
Net Income,0.09,1.64,1.87,2.77,0.25,5.66,-4.03,6.32,-
Net Income Growth,-62.73%,-70.98%,-,-56.11%,-,-,-,-,-
Shares Outstanding (Basic),35,35,35,35,34,35,35,22,6
Shares Outstanding (Diluted),35,35,35,35,34,35,35,22,-
Shares Change,1.00%,-,-,57.34%,469.32%,-,-,-,-
EPS (Basic),-,0.05,0.05,0.08,-,0.16,-0.12,0.29,-
EPS (Diluted),-,0.05,0.05,0.08,-,0.16,-0.12,0.29,-
EPS Growth,-,-68.75%,-,-72.41%,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.03,-
Effective Tax Rate,87.19%,12.62%,0.90%,-,-,-,-,-,-
EBITDA,0.72,1.88,1.88,2.77,0.25,5.66,-4.03,6.32,-
EBIT,0.72,1.88,1.88,2.77,0.25,5.66,-4.03,6.32,-
