Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",0.37,0.37,0.35,0.62,0.49,0.44,0.36,1.39,0.04
Operating Expenses,0.37,0.37,0.35,0.62,0.49,0.44,0.36,1.39,0.04
Operating Income,-0.37,-0.37,-0.35,-0.62,-0.49,-0.44,-0.36,-1.39,-0.04
Other Expense / Income,-2.9,-3.21,-3.7,-3.82,-3.46,-0.6,-11,1.89,-
Pretax Income,2.53,2.84,3.35,3.2,2.97,0.17,10.64,-3.28,-0.04
Income Tax,0.81,0.47,0,0,0,0,0,0,0
Net Income,1.72,2.37,3.35,3.2,2.97,0.17,10.64,-3.28,-0.04
Net Income Growth,-42.24%,1318.00%,-68.51%,-,-,-,-,-,-
Shares Outstanding (Basic),44,44,44,44,44,30,44,22,12
Shares Outstanding (Diluted),44,44,44,44,44,30,44,22,12
Shares Change,-,45.24%,-,102.44%,284.48%,-,-,-,-
EPS (Basic),0.43,0.73,-0.09,-0.26,-,0.50,-0.29,-0.93,-
EPS (Diluted),0.43,0.73,-0.09,-0.26,-,0.50,-0.29,-0.93,-
EPS Growth,-,46.00%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.01,-,-0.01,-0.01,-0.01,-0.00,-0.04,-
Effective Tax Rate,32.10%,16.61%,-,-,-,-,-,-,-
EBITDA,2.53,2.84,3.35,3.2,2.97,0.17,10.64,-3.28,-0.04
EBIT,2.53,2.84,3.35,3.2,2.97,0.17,10.64,-3.28,-0.04
