Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",1.06,0.45,0.46,0.33,0.97,0.2,0.36,0.19,0
Operating Expenses,1.06,0.45,0.46,0.33,0.97,0.2,0.36,0.19,0
Operating Income,-1.06,-0.45,-0.46,-0.33,-0.97,-0.2,-0.36,-0.19,-0
Other Expense / Income,-2.65,-2.41,-5.86,-7.32,-2.68,-8.17,8.14,-9.49,-
Pretax Income,1.58,1.96,5.4,6.99,1.71,7.97,-8.5,9.31,-0
Income Tax,0.55,0.28,0.01,0,0,0,0,0,0
Net Income,1.03,1.68,5.38,6.99,1.71,7.97,-8.5,9.31,-0
Net Income Growth,-39.58%,-78.97%,-,-24.88%,-,-,-,-,-
Shares Outstanding (Basic),40,40,40,40,40,40,40,25,6
Shares Outstanding (Diluted),40,40,40,40,40,40,40,25,6
Shares Change,-0.99%,-,-,58.02%,538.86%,-,-,-,-
EPS (Basic),0.02,0.04,0.14,0.18,0.04,0.20,-0.22,0.37,-
EPS (Diluted),0.02,0.04,0.14,0.18,0.04,0.20,-0.22,0.37,-
EPS Growth,-50.00%,-80.00%,-,-51.35%,-,-,-,-,-
Free Cash Flow Per Share,-0.02,-0.00,-0.00,-0.02,-0.01,-0.00,-0.00,-0.05,-
Effective Tax Rate,34.76%,14.38%,0.27%,-,-,-,-,-,-
EBITDA,1.58,1.96,5.4,6.99,1.71,7.97,-8.5,9.31,-0
EBIT,1.58,1.96,5.4,6.99,1.71,7.97,-8.5,9.31,-0
