Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-25
"Selling, General & Admin",0.63,0.41,0.22,0.42,0.38,0.27,0,0
Other Operating Expenses,0.05,0.05,0.05,0.05,0.05,-0.03,0.15,0
Operating Expenses,0.68,0.46,0.27,0.47,0.43,0.24,0.15,0
Operating Income,-0.68,-0.46,-0.27,-0.47,-0.43,-0.24,-0.15,-0
Other Expense / Income,-3.71,-2.53,-3.07,-3.14,-4.56,-10.43,1.71,-
Pretax Income,3.04,2.07,2.8,2.67,4.13,10.19,-1.87,-0
Income Tax,0.6,0.48,0.27,0,0,0,0,0
Net Income,2.43,1.6,2.53,2.67,4.13,10.19,-1.87,-0
Net Income Growth,-41.11%,-84.35%,-,-,-,-,-,-
Shares Outstanding (Basic),34,34,34,34,34,18,8,6
Shares Outstanding (Diluted),34,34,34,34,34,18,8,6
Shares Change,-0.80%,92.16%,324.78%,450.20%,-,-,-,-
EPS (Basic),0.07,0.05,0.07,0.08,0.12,0.79,-0.25,-
EPS (Diluted),0.07,0.05,0.07,0.08,0.12,0.79,-0.25,-
EPS Growth,-41.67%,-93.67%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.01,-0.01,-,-,-
Effective Tax Rate,19.89%,23.08%,9.66%,-,-,-,-,-
EBITDA,3.04,2.07,2.8,2.67,4.13,-,-,-0
EBIT,3.04,2.07,2.8,2.67,4.13,10.19,-1.87,-0
