Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",0.35,0.33,0.39,0.4,0.35,0,0
Operating Expenses,0.35,0.33,0.39,0.4,0.35,0,0
Operating Income,-0.35,-0.33,-0.39,-0.4,-0.35,0,-0
Other Expense / Income,-0.39,-0.05,-0,-0.1,-0,-,-
Pretax Income,0.04,-0.28,-0.39,-0.31,-0.35,0,-0
Net Income,0.04,-0.28,-0.39,-0.31,-0.35,0,-0
Shares Outstanding (Basic),13,13,13,7,9,3,3
Shares Outstanding (Diluted),13,13,13,7,9,3,3
Shares Change,53.60%,433.02%,433.02%,-,-,-,-
EPS (Basic),-,-0.02,-0.03,-0.02,-0.04,-,-
EPS (Diluted),-,-0.02,-0.03,-0.02,-0.04,-,-
Free Cash Flow Per Share,-0.02,-0.02,-0.03,-0.03,-0.08,0.09,-0.09
EBITDA,0.04,-0.28,-0.39,-0.31,-0.35,0,-0
EBIT,0.04,-0.28,-0.39,-0.31,-0.35,0,-0
