Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",1.2,1.13,0.72,0.54,0.28,0,0.01
Operating Expenses,1.2,1.13,0.72,0.54,0.28,0,0.01
Operating Income,-1.2,-1.13,-0.72,-0.54,-0.28,-0,-0.01
Interest Expense / Income,0.13,0,0,0,0,0,0
Other Expense / Income,-0.2,-0.39,-0.06,-0.02,-0,-,-
Pretax Income,-1.13,-0.74,-0.66,-0.53,-0.28,-0,-0.01
Income Tax,0.1,0.08,0,0,0,0,0
Net Income,-1.23,-0.82,-0.66,-0.53,-0.28,-0,-0.01
Shares Outstanding (Basic),13,15,15,15,4,3,3
Shares Outstanding (Diluted),13,15,15,15,4,3,3
Shares Change,220.05%,497.28%,497.28%,-,-,-,-
EPS (Basic),-0.12,-0.05,-0.04,-0.04,-0.07,-,-
EPS (Diluted),-0.12,-0.05,-0.04,-0.04,-0.07,-,-
Free Cash Flow Per Share,-0.05,-0.01,-0.02,-0.02,-0.15,-,-
EBITDA,-1,-0.74,-0.66,-0.53,-0.28,-0,-0.01
EBIT,-1,-0.74,-0.66,-0.53,-0.28,-0,-0.01
