Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
"Selling, General & Admin",0.42,0.55,0.4,1.2,1.89,1.38,1.66,2.84,0.35,0,0,0,0,-
Operating Expenses,0.42,0.55,0.4,1.2,1.89,1.38,1.66,2.84,0.35,0,0,0,0,-
Operating Income,-0.42,-0.55,-0.4,-1.2,-1.89,-1.38,-1.66,-2.84,-0.35,0,0,0,-0,-
Interest Expense / Income,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,-
Other Expense / Income,-8.4,-4.96,-6.8,-8.84,-9.17,0.49,-8.22,-1.76,-7.97,-,-,-,-,-
Pretax Income,7.97,4.39,6.39,7.64,7.29,-1.87,6.56,-1.08,7.62,0,0,0,-0,-
Net Income,7.97,4.39,6.39,7.64,7.29,-1.87,6.56,-1.08,7.62,0,0,0,-0,-
Net Income Growth,9.41%,-,-2.58%,-,-4.41%,-,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),86,86,86,86,86,87,86,86,53,15,15,15,15,13
Shares Outstanding (Diluted),86,86,86,86,86,87,86,86,53,15,15,15,15,-
Shares Change,-,-1.19%,-,-,62.74%,481.92%,475.00%,475.00%,253.33%,20.00%,-,-,-,-
EPS (Basic),0.09,0.05,0.07,0.09,0.08,-0.03,0.08,-0.01,0.14,-,-,-,-,-
EPS (Diluted),0.09,0.05,0.07,0.09,0.08,-0.03,0.08,-0.01,0.14,-,-,-,-,-
EPS Growth,12.50%,-,-12.50%,-,-42.86%,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.02,-0.01,-0.00,-0.01,-0.00,-0.02,-,-,-,-,-
EBITDA,7.98,4.41,6.39,7.64,7.29,-1.87,6.56,-1.08,7.62,0,0,0,-0,-
EBIT,7.98,4.41,6.39,7.64,7.29,-1.87,6.56,-1.08,7.62,0,0,0,-0,-
