Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-03-31
Revenue,456.5,489.54,418.64,471.17,888.8,537.27,372.72,500.7,537.88,275.74,211.14,302.69,333.52,272.81,250.35,291.38,298.01,274.99,220,244.75,258.94,242.18,217.49,257.1,247.68,186.54,180.77,183.6,205.52,158.38,146.27,186.47,196.61,156.29,-
Revenue Growth (YoY),-48.64%,-8.88%,12.32%,-5.90%,65.24%,94.85%,76.53%,65.42%,61.27%,1.07%,-15.66%,3.88%,11.91%,-0.79%,13.79%,19.05%,15.09%,13.55%,1.15%,-4.80%,4.54%,29.83%,20.31%,40.04%,20.51%,17.78%,23.59%,-1.54%,4.53%,1.33%,-,-,-,-,-
Gross Profit,456.5,489.54,418.64,471.17,888.8,537.27,372.72,500.7,537.88,275.74,211.14,302.69,333.52,272.81,250.35,291.38,298.01,274.99,220,244.75,258.94,242.18,217.49,257.1,247.68,186.54,180.77,183.6,205.52,158.38,146.27,186.47,196.61,156.29,-
"Selling, General & Admin",289.35,309.86,265.74,293.58,549.38,333.37,232.3,317.08,339.74,177.25,137.12,186.71,213.11,174.64,163.31,190.39,187.18,175.32,139.18,155.52,174.31,161.3,145.51,170.57,164.97,124.9,121.8,120.68,135.98,111.26,93.69,128.54,138.74,109.41,-
Other Operating Expenses,82.98,90.31,75.34,78.98,90.16,46.58,32.74,43.35,39.72,31.61,31.43,47.33,52.39,53.02,39.26,40.44,48.59,43.5,40.69,29.51,30.14,27.56,25.11,29.2,25.89,26.66,26.11,21.42,25.86,29.69,28.8,17.32,21.26,19.5,0
Operating Expenses,372.33,400.17,341.07,372.56,639.54,379.95,265.05,360.43,379.46,208.86,168.55,234.04,265.5,227.66,202.58,230.83,235.77,218.82,179.87,185.02,204.45,188.86,170.62,199.77,190.86,151.56,147.91,142.1,161.84,140.94,122.49,145.86,160,128.91,-
Operating Income,84.17,89.37,77.57,98.61,249.26,157.32,107.68,140.28,158.42,66.88,42.59,68.66,68.02,45.15,47.77,60.55,62.24,56.18,40.13,59.73,54.49,53.33,46.87,57.33,56.82,34.98,32.86,41.5,43.69,17.44,23.78,40.61,36.61,27.39,-
Interest Expense / Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,-1.27,0,-
Other Expense / Income,0.56,5.1,1.75,7.92,0.83,0.85,-0.1,0.47,-0.19,-0.2,-1.16,-2.26,-1.04,-1.1,-1.65,-1.92,-0.69,-1.01,-1.61,-1.09,-0.63,-0.2,-1.51,0.77,1.08,0.75,0.91,0.66,1.09,0.33,-1.3,-3.15,-0.15,-1.07,-
Pretax Income,83.61,84.27,75.82,90.69,248.43,156.47,107.78,139.8,158.6,67.07,43.75,70.91,69.06,46.25,49.43,62.47,62.93,57.18,41.73,60.81,55.12,53.53,48.38,56.57,55.74,34.23,31.95,40.83,42.59,17.1,25.08,40.96,38.03,28.46,-
Income Tax,20.56,23.54,5.04,25.52,74.7,43.58,21.82,40.44,40.09,18.28,-2.35,11.9,20.16,13.14,6.65,17.13,18.97,17.06,12.05,22.72,-6.47,20.17,9.14,22.49,21.76,13.35,12.54,18.05,19.93,7.85,10.03,16.19,13.87,11.87,-
Net Income,63.05,60.73,70.78,65.17,173.74,112.88,85.96,99.37,118.52,48.79,46.1,59.01,48.89,33.11,42.78,45.35,43.96,40.12,29.68,38.1,61.58,33.36,39.24,34.08,33.98,20.88,19.41,22.78,22.66,9.26,15.05,24.77,24.16,16.59,-
Net Income Growth,-63.71%,-46.20%,-17.66%,-34.41%,46.59%,131.37%,86.46%,68.38%,142.39%,47.36%,7.77%,30.14%,11.23%,-17.47%,44.11%,19.03%,-28.62%,20.27%,-24.37%,11.81%,81.23%,59.79%,102.17%,49.59%,49.95%,125.56%,29.02%,-8.04%,-6.20%,-44.22%,-,-,-,-,-
Shares Outstanding (Basic),63,63,63,64,65,65,66,66,67,67,64,62,62,62,62,62,62,62,63,63,63,62,62,62,61,61,61,59,59,59,58,57,57,57,55
Shares Outstanding (Diluted),70,70,69,67,68,69,69,69,69,70,67,66,66,66,66,65,66,66,66,66,66,67,66,66,67,67,66,65,65,63,60,60,60,60,-
Shares Change,2.12%,1.80%,0.16%,-2.06%,-1.55%,-1.51%,2.87%,5.04%,5.71%,5.34%,1.79%,0.25%,-0.23%,0.06%,-0.81%,-0.71%,-0.55%,-1.29%,-0.33%,-0.85%,-0.85%,0.14%,0.04%,1.76%,1.97%,6.57%,9.73%,8.30%,8.44%,3.89%,9.84%,-,-,-,-
EPS (Basic),0.99,0.96,1.12,1.03,2.68,1.73,1.31,1.50,1.78,0.73,0.72,0.95,0.79,0.53,0.69,0.74,0.71,0.64,0.47,0.61,0.98,0.54,0.63,0.55,0.56,0.34,0.32,0.38,0.38,0.16,0.26,0.43,0.42,0.29,-
EPS (Diluted),0.90,0.87,1.03,0.97,2.54,1.65,1.25,1.44,1.71,0.70,0.69,0.90,0.75,0.50,0.65,0.70,0.67,0.61,0.45,0.58,0.93,0.50,0.59,0.52,0.51,0.31,0.29,0.35,0.35,0.15,0.25,0.41,0.40,0.27,-
EPS Growth,-64.57%,-47.27%,-17.60%,-32.64%,48.54%,135.71%,81.16%,60.00%,128.00%,40.00%,6.15%,28.57%,11.94%,-18.03%,44.44%,20.69%,-27.96%,22.00%,-23.73%,11.54%,82.35%,61.29%,103.45%,48.57%,45.71%,106.67%,16.00%,-14.63%,-12.50%,-44.44%,-,-,-,-,-
Free Cash Flow Per Share,1.22,1.13,-4.46,0.99,8.43,3.21,-1.39,4.08,4.57,1.66,-1.86,2.79,1.53,1.85,-1.89,2.11,1.21,2.13,-1.91,1.72,1.16,2.03,-1.03,1.60,1.77,1.73,-1.24,0.73,0.34,0.78,-1.84,1.25,1.82,-,-
Dividend Per Share,0.530,0.530,0.530,0.430,0.430,0.430,0.430,0.330,0.330,0.330,0.310,0.310,0.310,0.310,0.310,0.270,0.270,0.270,0.270,0.200,0.200,0.200,0.200,0.200,0.170,0.170,0.170,0.150,0.150,-,-,-,-,-,-
Dividend Growth,23.26%,23.26%,23.26%,30.30%,30.30%,30.30%,38.71%,6.45%,6.45%,6.45%,0%,14.81%,14.81%,14.81%,14.81%,35.00%,35.00%,35.00%,35.00%,0%,17.65%,17.65%,17.65%,33.33%,13.33%,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-
Operating Margin,18.44%,18.26%,18.53%,20.93%,28.04%,29.28%,28.89%,28.02%,29.45%,24.25%,20.17%,22.68%,20.39%,16.55%,19.08%,20.78%,20.89%,20.43%,18.24%,24.40%,21.04%,22.02%,21.55%,22.30%,22.94%,18.75%,18.18%,22.60%,21.26%,11.01%,16.26%,21.78%,18.62%,17.52%,-
Profit Margin,13.81%,12.41%,16.91%,13.83%,19.55%,21.01%,23.06%,19.85%,22.03%,17.69%,21.83%,19.50%,14.66%,12.14%,17.09%,15.56%,14.75%,14.59%,13.49%,15.57%,23.78%,13.77%,18.04%,13.25%,13.72%,11.19%,10.74%,12.41%,11.03%,5.84%,10.29%,13.28%,12.29%,10.62%,-
Free Cash Flow Margin,16.91%,14.67%,-67.48%,13.44%,61.54%,38.92%,-24.55%,53.83%,56.53%,40.20%,-56.24%,57.21%,28.46%,42.34%,-46.59%,44.62%,25.12%,48.24%,-54.54%,44.29%,27.94%,52.18%,-29.51%,38.36%,43.79%,56.69%,-41.62%,23.66%,9.98%,28.95%,-73.47%,38.51%,53.17%,-,-
Effective Tax Rate,24.59%,27.93%,6.65%,28.13%,30.07%,27.85%,20.24%,28.92%,25.28%,27.26%,-5.37%,16.78%,29.20%,28.42%,13.45%,27.41%,30.15%,29.84%,28.88%,37.35%,-11.73%,37.68%,18.88%,39.76%,39.04%,39.01%,39.25%,44.21%,46.80%,45.89%,40.00%,39.52%,36.48%,41.70%,-
EBITDA,100.3,110.77,102.49,117.97,281.74,165.92,117.79,149.47,168.07,76.67,53,89.11,78.28,50.71,59.49,66.14,66.57,60.89,45.2,62.6,57.09,55.7,50.35,58.52,58.58,36.04,34.19,43.27,44.51,18.82,26.51,45.08,38.16,-,-
EBITDA Margin,21.97%,22.63%,24.48%,25.04%,31.70%,30.88%,31.60%,29.85%,31.25%,27.81%,25.10%,29.44%,23.47%,18.59%,23.76%,22.70%,22.34%,22.14%,20.55%,25.58%,22.05%,23.00%,23.15%,22.76%,23.65%,19.32%,18.91%,23.57%,21.66%,11.88%,18.12%,24.18%,19.41%,-,-
Depreciation & Amortization,16.69,26.5,26.67,27.28,33.3,9.45,10.02,9.67,9.47,9.6,9.25,18.2,9.23,4.45,10.07,3.67,3.64,3.71,3.47,1.79,1.97,2.18,1.97,1.96,2.85,1.81,2.24,2.43,1.92,1.71,1.43,1.32,1.39,-,-
EBIT,83.61,84.27,75.82,90.69,248.43,156.47,107.78,139.8,158.6,67.07,43.75,70.91,69.06,46.25,49.43,62.47,62.93,57.18,41.73,60.81,55.12,53.53,48.38,56.57,55.74,34.23,31.95,40.83,42.59,17.1,25.08,43.76,36.77,28.46,-
EBIT Margin,18.32%,17.21%,18.11%,19.25%,27.95%,29.12%,28.92%,27.92%,29.49%,24.32%,20.72%,23.43%,20.71%,16.95%,19.74%,21.44%,21.12%,20.79%,18.97%,24.85%,21.29%,22.10%,22.24%,22.00%,22.50%,18.35%,17.68%,22.24%,20.72%,10.80%,17.14%,23.47%,18.70%,18.21%,-
