Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Revenue,33.53,31.95,30.99,25.65,22.88,20.57,20.64,22.32,21.97,15.25,16.33
Revenue Growth (YoY),46.58%,55.31%,50.14%,14.92%,4.13%,34.90%,26.40%,-,-,-,-
Gross Profit,33.53,31.95,30.99,25.65,22.88,20.57,20.64,22.32,21.97,15.25,16.33
"Selling, General & Admin",19.1,19.71,18.86,18.39,17.47,17.81,15.26,15.85,12.87,9.72,8.94
Other Operating Expenses,2.94,2.92,3.86,4.38,2.71,2.28,2.38,1.93,2.65,2.05,2.16
Operating Expenses,22.04,22.63,22.73,22.77,20.18,20.09,17.64,17.78,15.52,11.77,11.1
Operating Income,11.49,9.33,8.27,2.88,2.7,0.49,3,4.54,6.45,3.48,5.23
Pretax Income,11.49,9.33,8.27,2.88,2.7,0.49,3,4.54,6.45,3.48,5.23
Income Tax,2.25,1.8,1.5,0.6,0.61,0.13,0.62,0.96,1.35,0.95,1.1
Net Income,9.24,7.53,6.77,2.28,2.09,0.35,2.39,3.59,5.1,2.53,4.13
Preferred Dividends,1.17,1.42,0,0,0,0,0,0,0,0,0
Net Income Common,8.07,6.11,6.77,2.28,2.09,0.35,2.39,3.59,5.1,2.53,4.13
Net Income Growth,286.78%,1625.14%,183.86%,-36.56%,-59.05%,-86.03%,-42.30%,-,-,-,-
Shares Outstanding (Basic),14,14,14,13,13,13,12,12,12,12,-
Shares Change,1.02%,1.36%,9.64%,9.28%,9.17%,8.42%,-,-,-,-,-
EPS (Basic),0.60,0.45,0.50,0.17,0.16,-0.15,0.29,0.57,0.81,0.40,0.66
EPS (Diluted),0.55,0.44,0.49,0.16,0.15,-0.15,0.28,0.55,0.80,0.40,0.65
EPS Growth,266.67%,-,75.00%,-70.91%,-81.25%,-,-56.92%,-,-,-,-
Free Cash Flow Per Share,0.54,0.26,0.54,0.11,-0.11,0.02,-0.00,-0.29,0.18,0.12,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,34.26%,29.19%,26.67%,11.23%,11.78%,2.37%,14.54%,20.36%,29.36%,22.84%,32.04%
Profit Margin,24.07%,19.11%,21.84%,8.88%,9.12%,1.72%,11.55%,16.08%,23.20%,16.62%,25.31%
Free Cash Flow Margin,21.68%,10.96%,23.67%,5.97%,-6.30%,1.58%,-0.11%,-15.78%,9.94%,9.65%,-31.84%
Effective Tax Rate,19.54%,19.32%,18.09%,20.96%,22.56%,27.31%,20.55%,21.02%,20.99%,27.23%,21.00%
EBITDA,11.71,9.53,7.68,3.16,2.31,-0.36,3.17,4.88,6.53,10.44,3.75
EBITDA Margin,34.92%,29.84%,24.79%,12.33%,10.08%,-1.75%,15.33%,21.87%,29.71%,68.43%,22.98%
Depreciation & Amortization,0.22,0.21,-0.58,0.28,-0.39,-0.85,0.16,0.34,0.08,6.95,-1.48
EBIT,11.49,9.33,8.27,2.88,2.7,0.49,3,4.54,6.45,3.48,5.23
EBIT Margin,34.26%,29.19%,26.67%,11.23%,11.78%,2.37%,14.54%,20.36%,29.36%,22.84%,32.04%
