Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30
Revenue,4.81,6.15,6.3,5.86,5.47,6.12,5.43,5.36,6.96,3.82,3.68,3.83,3.18,2.95,2.88,2.92,2.96,3.17,3.4
Revenue Growth (YoY),-12.06%,0.52%,16.19%,9.27%,-21.41%,60.20%,47.53%,40.05%,118.75%,29.25%,27.55%,31.07%,7.61%,-6.87%,-15.16%,-,-,-,-
Gross Profit,4.81,6.15,6.3,5.86,5.47,6.12,5.43,5.36,6.96,3.82,3.68,3.83,3.18,2.95,2.88,2.92,2.96,3.17,3.4
"Selling, General & Admin",3.13,3,3.16,3.07,3.02,3.11,2.89,2.92,2.27,1.96,1.89,1.75,1.82,1.67,1.7,1.8,2.22,1.86,1.76
Other Operating Expenses,0.39,0.51,0.48,0.53,0.52,0.57,0.88,0.66,1.16,0.41,0.5,0.41,3.25,0.21,0.24,0.32,0.28,0.25,0.32
Operating Expenses,3.52,3.51,3.64,3.59,3.54,3.68,3.78,3.58,3.43,2.37,2.39,2.16,5.07,1.87,1.94,2.11,2.51,2.11,2.08
Operating Income,1.29,2.64,2.66,2.27,1.93,2.44,1.65,1.78,3.52,1.45,1.28,1.67,-1.89,1.08,0.94,0.81,0.45,1.06,1.31
Pretax Income,1.29,2.64,2.66,2.27,1.93,2.44,1.65,1.78,3.52,1.45,1.28,1.67,-1.89,1.08,0.94,0.81,0.45,1.06,1.31
Income Tax,0.3,0.73,0.73,0.62,0.53,0.4,0.61,0.35,0.52,0.4,0.33,0.27,-0.55,0.29,0.27,0.2,0.09,0.22,0.37
Net Income,0.99,1.9,1.93,1.64,1.4,2.03,1.04,1.44,3.01,1.05,0.96,1.4,-1.34,0.79,0.67,0.61,0.36,0.85,0.94
Net Income Growth,-29.14%,-6.37%,85.25%,14.13%,-53.40%,94.29%,8.97%,2.54%,-,32.98%,42.53%,130.67%,-,-7.29%,-28.53%,-,-,-,-
Shares Outstanding (Basic),13,13,13,14,14,14,14,14,13,13,13,13,11,13,13,13,-,-,-
Shares Outstanding (Diluted),13,13,14,14,14,15,14,14,13,13,13,13,-,-,-,-,-,-,-
Shares Change,-5.93%,-9.06%,-3.49%,-1.75%,5.88%,14.53%,10.76%,10.23%,22.51%,-3.72%,-3.80%,-3.85%,-,-,-,-,-,-,-
EPS (Basic),0.08,0.15,0.14,0.12,0.10,0.15,0.07,0.10,0.23,0.08,0.08,0.11,-0.13,-,-,-,-,-,-
EPS (Diluted),0.08,0.15,0.14,0.12,0.10,0.14,0.07,0.10,0.23,0.08,0.08,0.11,-,-,-,-,-,-,-
EPS Growth,-20.00%,7.14%,100.00%,20.00%,-56.52%,75.00%,-12.50%,-9.09%,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,0.09,0.13,0.20,-0.15,0.59,-1.31,0.36,0.63,0.67,-0.03,0.04,0.13,0.22,0.01,0.05,0.06,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,26.85%,42.88%,42.27%,38.66%,35.23%,39.86%,30.39%,33.28%,50.66%,37.88%,34.90%,43.59%,-59.50%,36.54%,32.75%,27.59%,15.20%,33.56%,38.65%
Profit Margin,20.65%,30.97%,30.63%,28.03%,25.62%,33.24%,19.21%,26.83%,43.21%,27.41%,26.01%,36.65%,-42.06%,26.64%,23.27%,20.82%,12.24%,26.76%,27.63%
Free Cash Flow Margin,23.36%,28.01%,43.62%,-34.41%,149.23%,-295.65%,91.98%,164.42%,126.18%,-9.37%,13.57%,41.64%,73.00%,5.54%,21.42%,24.94%,30.62%,28.16%,34.44%
Effective Tax Rate,23.09%,27.78%,27.55%,27.51%,27.27%,16.59%,36.80%,19.38%,14.70%,27.63%,25.47%,15.92%,-,27.08%,28.93%,24.53%,19.47%,20.26%,28.52%
EBITDA,1.39,2.7,2.74,2.3,2,2.48,1.39,1.59,3.59,1.51,1.35,1.74,-1.82,1.15,1.01,0.89,0.53,1.14,1.39
EBITDA Margin,28.85%,43.87%,43.52%,39.29%,36.67%,40.54%,25.64%,29.63%,51.67%,39.66%,36.67%,45.40%,-57.29%,38.85%,35.10%,30.30%,17.94%,36.03%,40.87%
Depreciation & Amortization,0.1,0.06,0.08,0.04,0.08,0.04,-0.26,-0.2,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08
EBIT,1.29,2.64,2.66,2.27,1.93,2.44,1.65,1.78,3.52,1.45,1.28,1.67,-1.89,1.08,0.94,0.81,0.45,1.06,1.31
EBIT Margin,26.85%,42.88%,42.27%,38.66%,35.23%,39.86%,30.39%,33.28%,50.66%,37.88%,34.90%,43.59%,-59.50%,36.54%,32.75%,27.59%,15.20%,33.56%,38.65%
