Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.25,0.22,0.25,0.4,0.39,0,0
Other Operating Expenses,0.05,0.05,0.07,0.05,0.15,0,0
Operating Expenses,0.3,0.27,0.31,0.45,0.54,0,0
Operating Income,-0.3,-0.27,-0.31,-0.45,-0.54,-0,-0
Other Expense / Income,-2.46,-1.32,-0.38,-0.03,-0,-,-
Pretax Income,2.15,1.05,0.07,-0.43,-0.54,-0,-0
Income Tax,0.51,0.27,0.03,0,0,0,0
Net Income,1.65,0.78,0.04,-0.43,-0.54,-0,-0
Shares Outstanding (Basic),36,36,36,36,8,6,6
Shares Outstanding (Diluted),36,36,36,36,8,6,6
Shares Change,341.95%,475.00%,475.00%,-,-,-,-
EPS (Basic),0.05,0.02,-,-0.01,-0.07,-,-
EPS (Diluted),0.05,0.02,-,-0.01,-0.07,-,-
Free Cash Flow Per Share,-0.00,-0.01,-0.00,-0.03,-,-,-
Effective Tax Rate,23.48%,25.44%,43.10%,-,-,-,-
EBITDA,2.15,1.05,0.07,-0.43,-0.54,-0,-0
EBIT,2.15,1.05,0.07,-0.43,-0.54,-0,-0
