Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",0.32,0.47,0.25,0.29,0.39,0.15,0.04,0.02,0.01
Operating Expenses,0.32,0.47,0.25,0.29,0.39,0.15,0.04,0.02,0.01
Operating Income,-0.32,-0.47,-0.25,-0.29,-0.39,-0.15,-0.04,-0.02,-0.01
Other Expense / Income,-3.13,-2.82,-3,-3.43,-2.86,-5.17,-,-,-
Pretax Income,2.81,2.35,2.74,3.14,2.47,5.02,-0.04,-0.02,-0.01
Net Income,2.81,2.35,2.74,3.14,2.47,5.02,-0.04,-0.02,-0.01
Net Income Growth,13.60%,-53.18%,-,-,-,-,-,-,-
Shares Outstanding (Basic),29,29,29,29,29,8,5,5,4
Shares Outstanding (Diluted),29,29,29,29,29,9,5,5,4
Shares Change,-,223.64%,475.00%,475.00%,606.14%,-,-,-,-
EPS (Basic),0.10,0.08,0.10,0.11,0.09,0.62,-,-,-
EPS (Diluted),0.10,0.08,0.10,0.11,0.09,0.56,-,-,-
EPS Growth,11.11%,-85.71%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.01,-0.11,-,-,-
EBITDA,2.81,2.35,2.74,3.14,2.47,5.02,-0.04,-0.02,-0.01
EBIT,2.81,2.35,2.74,3.14,2.47,5.02,-0.04,-0.02,-0.01
