Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31
Revenue,27.25,27.54,27.36,25.76,22.98,24.3,23.6,23.5,22.92,22.18,22.13,21.25,20.32,20.15,20.2,19.22,18.22,18.71,18.71,17.71,16.66
Revenue Growth (YoY),18.58%,13.36%,15.90%,9.61%,0.28%,9.55%,6.68%,10.57%,12.80%,10.05%,9.52%,10.58%,11.49%,7.75%,7.97%,8.56%,9.40%,-,-,-,-
Gross Profit,27.25,27.54,27.36,25.76,22.98,24.3,23.6,23.5,22.92,22.18,22.13,21.25,20.32,20.15,20.2,19.22,18.22,18.71,18.71,17.71,16.66
"Selling, General & Admin",12.35,12.31,12.29,11.73,11.2,11.33,10.91,10.87,10.53,10.96,10.85,10.43,10.03,9.77,9.6,9.88,9.08,8.99,9.09,8.79,8.42
Other Operating Expenses,3.14,2.77,2.75,2.74,2.86,2.69,2.77,2.52,2.63,2.38,2.4,2.44,1.92,2.12,2.28,2.53,2.07,2,2.09,2.15,1.89
Operating Expenses,15.49,15.08,15.04,14.47,14.06,14.02,13.68,13.39,13.16,13.34,13.25,12.87,11.95,11.89,11.89,12.4,11.16,10.99,11.18,10.95,10.31
Operating Income,11.76,12.46,12.31,11.29,8.92,10.28,9.92,10.11,9.75,8.84,8.87,8.39,8.37,8.27,8.32,6.82,7.06,7.72,7.53,6.76,6.35
Pretax Income,11.76,12.46,12.31,11.29,8.92,10.28,9.92,10.11,9.75,8.84,8.87,8.39,8.37,8.27,8.32,6.82,7.06,7.72,7.53,6.76,6.35
Income Tax,2.16,2.27,2.13,2.14,1.53,1.77,1.78,1.87,1.69,1.58,1.59,1.53,1.62,1.52,1.47,1.28,1.37,1.57,1.39,1.23,1.12
Net Income,9.6,10.19,10.19,9.15,7.39,8.51,8.14,8.24,8.07,7.26,7.29,6.85,6.75,6.74,6.85,5.54,5.7,6.15,6.14,5.53,5.23
Net Income Growth,29.84%,19.75%,25.17%,11.02%,-8.34%,17.20%,11.71%,20.21%,19.57%,7.68%,6.40%,23.76%,18.42%,9.62%,11.48%,0.11%,8.89%,-,-,-,-
Shares Outstanding (Basic),7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-,-,-
Shares Change,-0.01%,-1.27%,-1.27%,-1.76%,-1.75%,-0.67%,-0.71%,-0.24%,-0.19%,0.26%,0.30%,0.31%,1.56%,1.33%,-,-,-,-,-,-,-
EPS (Basic),1.34,1.42,1.42,1.27,1.03,1.18,1.12,1.13,1.10,0.99,0.99,0.94,0.92,0.92,0.94,0.79,0.86,0.92,0.91,0.82,0.78
EPS (Diluted),1.33,1.42,1.42,1.27,1.03,1.17,1.12,1.13,1.10,0.99,0.99,0.93,0.92,0.92,0.93,0.78,0.85,0.91,0.91,0.82,0.77
EPS Growth,29.13%,21.37%,26.79%,12.39%,-6.36%,18.18%,13.13%,21.51%,19.57%,7.61%,6.45%,19.23%,8.24%,1.10%,2.20%,-4.88%,10.39%,-,-,-,-
Free Cash Flow Per Share,1.69,1.17,2.22,1.02,0.80,1.53,1.96,1.42,3.22,0.17,-0.72,0.19,1.15,0.42,1.56,-0.12,1.25,0.59,-,-,-
Dividend Per Share,0.080,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.060,0.060,0.060,0.060,-,-,-,-,-,-,-,-
Dividend Growth,14.29%,0%,0%,0%,0%,16.67%,16.67%,16.67%,16.67%,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,43.16%,45.24%,45.02%,43.82%,38.81%,42.31%,42.02%,43.01%,42.56%,39.87%,40.11%,39.45%,41.18%,41.01%,41.17%,35.47%,38.77%,41.27%,40.24%,38.17%,38.12%
Profit Margin,35.22%,37.00%,37.24%,35.51%,32.17%,35.02%,34.48%,35.06%,35.19%,32.74%,32.93%,32.25%,33.20%,33.46%,33.89%,28.81%,31.26%,32.88%,32.83%,31.25%,31.41%
Free Cash Flow Margin,44.41%,30.50%,58.38%,28.34%,25.02%,45.96%,60.32%,44.05%,102.83%,5.56%,-23.99%,6.55%,41.56%,15.32%,56.52%,-4.54%,49.59%,22.72%,40.92%,7.92%,43.67%
Effective Tax Rate,18.39%,18.22%,17.28%,18.97%,17.11%,17.23%,17.95%,18.49%,17.31%,17.89%,17.91%,18.26%,19.38%,18.42%,17.67%,18.76%,19.37%,20.32%,18.42%,18.14%,17.61%
EBITDA,12.48,13.15,12.95,11.91,9.58,10.95,10.55,10.74,10.37,9.49,9.48,8.95,8.96,8.87,9.07,7.28,7.6,8.23,8.02,7.27,6.88
EBITDA Margin,45.80%,47.74%,47.35%,46.22%,41.71%,45.06%,44.71%,45.71%,45.24%,42.79%,42.85%,42.12%,44.10%,44.02%,44.88%,37.86%,41.71%,44.01%,42.87%,41.03%,41.29%
Depreciation & Amortization,0.72,0.69,0.64,0.62,0.67,0.67,0.64,0.64,0.61,0.65,0.61,0.57,0.59,0.61,0.75,0.46,0.54,0.51,0.49,0.51,0.53
EBIT,11.76,12.46,12.31,11.29,8.92,10.28,9.92,10.11,9.75,8.84,8.87,8.39,8.37,8.27,8.32,6.82,7.06,7.72,7.53,6.76,6.35
EBIT Margin,43.16%,45.24%,45.02%,43.82%,38.81%,42.31%,42.02%,43.01%,42.56%,39.87%,40.11%,39.45%,41.18%,41.01%,41.17%,35.47%,38.77%,41.27%,40.24%,38.17%,38.12%
