Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31
Revenue,146.54,122.35,135.72,174.86,192.67,130.68,138.56,142.53,160.41,132.25,127.25,131.82,167.3,172.01,173.4,152.29,175.55,156.9,141.79,150.82,173.96,141.45,155.78,151.5,162.84,138.37,135.9,-
Revenue Growth (YoY),-23.94%,-6.37%,-2.05%,22.68%,20.11%,-1.18%,8.89%,8.13%,-4.12%,-23.12%,-26.61%,-13.44%,-4.70%,9.63%,22.29%,0.97%,0.92%,10.92%,-8.98%,-0.45%,6.83%,2.23%,14.63%,-,-,-,-,-
Cost of Revenue,78.65,81.87,71.48,112.64,107.27,89.4,85.54,79.15,77.35,112.07,63.68,55.32,67.6,96.56,76.76,71.11,70.06,75.22,81.2,73.47,68.11,63.36,75.61,69.5,67.94,74.72,68.87,-
Gross Profit,67.89,40.48,64.24,62.22,85.4,41.28,53.02,63.38,83.06,20.18,63.57,76.5,99.7,75.44,96.64,81.18,105.5,81.68,60.59,77.35,105.85,78.09,80.17,82,94.91,63.65,67.04,-
"Selling, General & Admin",39.55,44.17,44.87,51.77,46.47,50.23,37.02,38.35,29.89,-4.81,36.66,36.78,42.8,17.2,38.67,35.29,49.09,36.5,27.5,32.98,35.43,33.96,34.25,36.56,32.99,29.17,30.81,-
Other Operating Expenses,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.39,7.39,0,0,1.21,1.37,0
Operating Expenses,41.57,44.17,44.87,51.77,46.47,50.23,37.02,38.35,29.89,-4.81,36.66,36.78,42.8,17.2,38.67,35.29,49.09,36.5,27.5,32.98,35.43,26.57,41.64,36.56,32.99,30.38,32.18,-
Operating Income,26.32,-3.7,19.36,10.45,38.93,-8.95,16,25.03,53.17,24.98,26.91,39.72,56.9,58.24,57.97,45.89,56.41,45.19,33.1,44.37,70.42,51.53,38.53,45.45,61.91,33.28,34.86,-
Interest Expense / Income,58.94,54.98,50.15,42.19,38.34,28.55,25.81,23.44,19.54,18.69,18.38,18.31,17.3,17.69,17.36,17.02,17.69,18.15,23.4,20.47,22.35,22,18.84,18.48,23.37,16.16,15.99,-
Other Expense / Income,6.14,147.86,-73.79,1.33,-1.85,-0.6,45.61,-137.1,-0.55,-1.89,-3.53,-1.73,1.3,0.52,1.98,4.58,-8.38,39.4,73.63,2.74,13.3,11.46,-,-,12.46,-,-6.99,-
Pretax Income,-38.77,-206.54,43,-33.07,2.44,-36.9,-55.41,138.69,34.18,8.19,12.06,23.14,38.3,40.04,38.63,24.29,47.09,-12.37,-63.94,21.15,34.76,18.07,19.68,26.96,26.09,17.12,25.86,-
Income Tax,20.7,-20.14,17.35,-6.99,1.11,-8.02,-13.38,34.17,8.44,3.71,-0.82,1.07,2,9.82,11.24,7.45,10.05,1.93,-16.91,5.18,11.47,11.66,9.92,10.62,9.45,7.54,10.08,-
Net Income,-59.47,-186.39,25.65,-26.08,1.34,-28.88,-42.04,104.52,25.74,4.47,12.88,22.07,36.3,30.22,27.39,16.83,37.05,-14.3,-47.02,15.98,23.29,6.41,9.76,16.34,16.64,9.59,15.78,-
Net Income Growth,-,-,-,-,-94.81%,-,-,373.51%,-29.10%,-85.19%,-52.97%,31.13%,-2.02%,-,-,5.37%,59.06%,-,-,-2.25%,39.99%,-33.12%,-38.13%,-,-,-,-,-
Shares Outstanding (Basic),41,41,40,40,40,40,41,42,42,41,41,41,41,41,44,46,46,46,46,46,46,40,38,38,38,38,-,38
Shares Outstanding (Diluted),41,39,41,40,41,42,41,44,44,43,42,42,42,43,46,47,47,48,46,48,47,40,39,39,39,-,-,-
Shares Change,-1.27%,-6.75%,-0.93%,-7.55%,-5.25%,-2.48%,-1.33%,5.12%,4.05%,0.34%,-9.20%,-11.81%,-11.45%,-9.32%,0.34%,-1.85%,-0.20%,18.51%,17.83%,23.11%,21.71%,6.13%,-,2.85%,-,-,-,-
EPS (Basic),-1.46,-4.61,0.63,-0.65,0.03,-0.69,-1.02,2.51,0.62,0.11,0.32,0.54,0.89,0.72,0.62,0.36,0.80,-0.31,-1.03,0.35,0.51,0.15,0.26,0.43,0.44,-,-,-
