Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31
Revenue,207.47,216.99,205.41,188.28,181,178.9,186.7,215.85,173.03,168.83,177.83,118.03,146.71,182.08,193.06,190.52,186.48,171.33,184.2,185.18,182.42,184.11,178.48,177.41,175.9,184.81,169.27,164.9,190.13,168.62,167.5,168.81,-
Revenue Growth (YoY),14.62%,21.29%,10.02%,-12.77%,4.61%,5.97%,4.99%,82.88%,17.94%,-7.28%,-7.89%,-38.05%,-21.33%,6.28%,4.81%,2.88%,2.23%,-6.94%,3.20%,4.38%,3.71%,-0.38%,5.44%,7.59%,-7.48%,9.60%,1.06%,-2.32%,-,-,-,-,-
Gross Profit,207.47,216.99,205.41,188.28,181,178.9,186.7,215.85,173.03,168.83,177.83,118.03,146.71,182.08,193.06,190.52,186.48,171.33,184.2,185.18,182.42,184.11,178.48,177.41,175.9,184.81,169.27,164.9,190.13,168.62,167.5,168.81,-
"Selling, General & Admin",82.12,77.51,78.01,77.85,74.81,70.24,69.79,71.28,69.89,65.08,67.66,66.6,69.95,63.37,68.5,65.75,67.46,63.28,61.25,62.66,61.88,62.15,57.76,59.41,58.45,48.53,59.18,58.13,64.39,59.23,58.94,59.93,-
Other Operating Expenses,36.45,36.41,35.32,31.33,29.23,38.51,31.25,28.11,26.42,23.05,23.97,24.85,26.52,27.69,24.97,27.54,25.17,26.07,31.89,29.2,28.71,27.7,27.02,27.52,27.54,42.41,23.63,20.35,20.67,28.77,20.44,21.29,0
Operating Expenses,118.57,113.92,113.33,109.18,104.04,108.75,101.04,99.39,96.31,88.13,91.63,91.45,96.47,91.06,93.47,93.29,92.62,89.35,93.15,91.87,90.59,89.85,84.78,86.93,85.99,90.94,82.8,78.47,85.06,88,79.38,81.22,-
Operating Income,88.9,103.07,92.08,79.11,76.96,70.15,85.66,116.46,76.72,80.7,86.2,26.58,50.25,91.02,99.6,97.23,93.86,81.97,91.06,93.32,91.84,94.26,93.7,90.48,89.91,93.87,86.47,86.43,105.07,80.62,88.13,87.59,-
Pretax Income,88.9,103.07,92.08,79.11,76.96,70.15,85.66,116.46,76.72,80.7,86.2,26.58,50.25,91.02,99.6,97.23,93.86,81.97,91.06,93.32,91.84,94.26,93.7,90.48,89.91,93.87,86.47,86.43,105.07,80.62,88.13,87.59,-
Income Tax,22.09,23.48,23.06,19.75,19.24,13.13,21.38,29.72,19.03,18.96,21.1,6.53,11.38,23.18,25.4,24.79,23.93,21.98,23.67,24.26,23.88,82.58,35.34,33.59,33.17,37.32,33.23,31.57,39.54,30.41,33.24,33.03,-
Net Income,66.82,79.59,69.02,59.36,57.72,57.02,64.28,86.74,57.69,61.74,65.1,20.05,38.87,67.84,74.2,72.43,69.92,60,67.39,69.05,67.96,11.68,58.36,56.9,56.74,56.55,53.24,54.86,65.53,50.21,54.89,54.56,-
