Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Revenue,16.56,16.28,18.22,25.1,13.73,13.84,10.89,51.12,43.79,37.95,35.28,25.8
Revenue Growth (YoY),20.57%,17.60%,67.41%,-50.89%,-68.64%,-63.52%,-69.14%,98.09%,-,-,-,-
Gross Profit,16.56,16.28,18.22,25.1,13.73,13.84,10.89,51.12,43.79,37.95,35.28,25.8
"Selling, General & Admin",13.28,11.26,12.09,22.37,12.49,12.37,11.13,29.79,30.82,27.69,24.98,20.25
Other Operating Expenses,2.13,2.23,2.06,2.63,1.38,0.89,1.43,2.31,1.21,1.14,1.61,1.21
Operating Expenses,15.41,13.49,14.16,25,13.87,13.26,12.57,32.1,32.03,28.83,26.59,21.46
Operating Income,1.15,2.79,4.07,0.1,-0.14,0.58,-1.68,19.02,11.76,9.12,8.69,4.35
Other Expense / Income,0.13,0.79,4.49,0.68,-0.12,-1.96,-2.6,1.57,1.7,1.65,1.62,1.18
Pretax Income,1.02,1.99,-0.42,-0.57,-0.01,2.53,0.92,17.45,10.07,7.48,7.07,3.17
Income Tax,0.28,0.67,0.98,-0.29,-0.03,-0.28,-0.36,4.43,2.56,1.87,1.82,0.83
Net Income,0.74,1.32,-1.4,-0.28,0.01,2.81,1.28,13.02,7.51,5.61,5.25,2.35
Preferred Dividends,0.21,0.21,0.21,0.21,0.21,0.21,0.23,0.24,0.33,0.31,0.2,0.18
Net Income Common,0.53,1.11,-1.61,-0.49,-0.2,2.6,1.05,12.78,7.18,5.3,5.05,2.17
Net Income Growth,-,-57.20%,-,-,-,-50.89%,-79.21%,489.80%,-,-,-,-
Shares Outstanding (Basic),4,4,4,4,4,4,4,4,4,4,-,-
Shares Change,2.14%,1.61%,4.18%,3.77%,3.77%,2.76%,-,-,-,-,-,-
EPS (Basic),0.13,0.28,-0.40,-0.12,-0.05,0.61,0.26,3.34,2.05,1.54,1.47,0.63
EPS (Diluted),0.13,0.26,-0.35,-0.12,-0.05,0.78,0.26,2.98,1.82,1.23,1.37,0.63
EPS Growth,-,-66.67%,-,-,-,-36.59%,-81.02%,373.02%,-,-,-,-
Free Cash Flow Per Share,15.21,38.06,31.69,11.70,25.89,90.92,7.87,23.00,0.41,-12.22,-,-
Dividend Per Share,-,0.080,0.080,0.080,0.080,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,6.93%,17.11%,22.31%,0.41%,-1.00%,4.18%,-15.43%,37.21%,26.86%,24.04%,24.63%,16.85%
Profit Margin,3.21%,6.84%,-8.83%,-1.95%,-1.42%,18.81%,9.65%,25.00%,16.39%,13.97%,14.32%,8.40%
Free Cash Flow Margin,376.44%,944.13%,700.55%,186.98%,756.48%,2610.27%,279.41%,174.04%,3.61%,-124.54%,-134.83%,-
Effective Tax Rate,27.48%,33.70%,-,-,-,-10.93%,-39.43%,25.40%,25.40%,25.00%,25.68%,26.10%
EBITDA,1.55,2.46,-0.17,-0.07,0.38,2.59,1.35,17.89,10.48,8.32,6.92,-
EBITDA Margin,9.37%,15.12%,-0.92%,-0.29%,2.78%,18.72%,12.41%,34.99%,23.94%,21.92%,19.63%,-
Depreciation & Amortization,0.53,0.47,0.25,0.5,0.4,0.06,0.43,0.44,0.41,0.84,-0.14,-
EBIT,1.02,1.99,-0.42,-0.57,-0.01,2.53,0.92,17.45,10.07,7.48,7.07,3.17
EBIT Margin,6.15%,12.25%,-2.30%,-2.28%,-0.10%,18.31%,8.43%,34.13%,22.99%,19.70%,20.04%,12.30%
