Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-10-08
"Selling, General & Admin",0.19,0.17,0.22,0.09,0,0
Operating Expenses,0.19,0.17,0.22,0.09,0,0
Operating Income,-0.19,-0.17,-0.22,-0.09,0,-0
Other Expense / Income,-1,-0.56,-0.1,-0.02,-,-
Pretax Income,0.82,0.39,-0.13,-0.07,0,-0
Income Tax,0.31,0,0,0,0,0
Net Income,0.51,0.39,-0.13,-0.07,0,-0
Shares Outstanding (Basic),14,14,14,3,3,3
Shares Outstanding (Diluted),14,14,14,3,3,3
Shares Change,475.84%,475.00%,-,-,-,-
EPS (Basic),0.03,0.03,-0.01,-0.01,-,-
EPS (Diluted),0.03,0.03,-0.01,-0.01,-,-
Free Cash Flow Per Share,-0.01,-,-0.01,-0.17,-,-
Effective Tax Rate,38.03%,-,-,-,-,-
EBITDA,0.82,0.39,-0.13,-0.07,0,-0
EBIT,0.82,0.39,-0.13,-0.07,0,-0
