Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.69,0.41,0.37,0.26,0.22,0,0
Other Operating Expenses,0.05,0.05,0.05,0.05,0.03,0,0
Operating Expenses,0.74,0.46,0.42,0.31,0.26,0.01,0
Operating Income,-0.74,-0.46,-0.42,-0.31,-0.26,-0.01,-0
Other Expense / Income,-1.65,-4.69,-3.95,-6.06,0.32,-,-
Pretax Income,0.91,4.23,3.53,5.75,-0.58,-0.01,-0
Income Tax,0.4,0.25,0.04,0,0,0,0
Net Income,0.52,3.98,3.49,5.75,-0.58,-0.01,-0
Shares Outstanding (Basic),29,29,29,29,9,5,5
Shares Outstanding (Diluted),29,29,29,29,9,5,5
Shares Change,226.49%,475.00%,475.00%,-,-,-,-
EPS (Basic),0.94,-0.14,-0.12,-0.20,-0.07,-,-
EPS (Diluted),0.94,-0.14,-0.12,-0.20,-0.07,-,-
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.01,-0.07,-,-
Effective Tax Rate,43.53%,5.93%,1.01%,-,-,-,-
EBITDA,0.91,4.23,3.53,5.75,-0.58,-0.01,-
EBIT,0.91,4.23,3.53,5.75,-0.58,-0.01,-0
