Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31
Revenue,16.12,17,15.7,14.02,13.13,13.93,14.01,13.07,11.45,12.04,10.91,10.51,11.98,9.91,8.13,7.85,7.67,8.41,7.67,7.55,-
Revenue Growth (YoY),22.78%,22.05%,12.04%,7.28%,14.66%,15.64%,28.38%,24.38%,-4.41%,21.47%,34.30%,33.92%,56.15%,17.88%,5.90%,3.93%,-,-,-,-,-
Gross Profit,16.12,17,15.7,14.02,13.13,13.93,14.01,13.07,11.45,12.04,10.91,10.51,11.98,9.91,8.13,7.85,7.67,8.41,7.67,7.55,-
"Selling, General & Admin",7.41,7.1,7.1,6.9,7.06,7.91,7.15,6.69,6.73,6.78,6.27,5.96,5.9,5.78,3.69,3.73,3.78,3.4,3.48,3.99,-
Other Operating Expenses,4.23,4.1,3.25,3.01,3.33,4.1,3.21,3.42,3.12,3.57,2.98,3.1,2.85,2.71,1.85,1.67,1.84,2.61,1.71,2.38,0
Operating Expenses,11.64,11.2,10.35,9.91,10.39,12,10.36,10.11,9.84,10.34,9.25,9.06,8.75,8.49,5.53,5.4,5.61,6,5.19,6.37,-
Operating Income,4.49,5.8,5.35,4.11,2.75,1.92,3.65,2.96,1.61,1.7,1.66,1.45,3.23,1.42,2.6,2.45,2.06,2.41,2.48,1.18,-
Other Expense / Income,-0.03,-0.02,-0.05,0,-0.06,0.06,0.12,0.12,0.19,0.28,0.24,0.12,0.02,0.01,-,-,-,-,-,-,-
Pretax Income,4.52,5.82,5.4,4.11,2.81,1.87,3.54,2.84,1.42,1.42,1.43,1.34,3.21,1.41,2.6,2.45,2.06,2.41,2.48,1.18,-
Income Tax,1.19,1.6,1.29,0.93,0.7,0.4,0.84,0.67,0.33,0.31,0.31,0.3,0.8,0.46,0.81,0.7,0.66,0.87,0.59,0.42,-
Net Income,3.33,4.22,4.11,3.18,2.11,1.47,2.7,2.16,1.09,1.11,1.12,1.04,2.41,0.95,1.79,1.75,1.4,1.53,1.89,0.76,-
Net Income Growth,57.89%,187.85%,52.45%,46.97%,93.49%,32.34%,141.36%,107.98%,-54.70%,16.77%,-37.42%,-40.61%,72.10%,-38.20%,-5.46%,129.19%,-,-,-,-,-
Shares Outstanding (Basic),18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,10,10,10,-,-,-
Shares Change,0.13%,0.59%,0.99%,1.33%,1.33%,0.26%,-0.14%,-0.45%,-0.45%,78.36%,78.36%,78.34%,78.34%,-,-,-,-,-,-,-,-
EPS (Basic),0.19,0.24,0.23,0.18,0.12,0.08,0.15,0.12,0.06,0.06,0.06,0.06,0.14,0.04,0.18,0.17,0.14,0.15,0.19,0.08,-
EPS (Diluted),0.19,0.24,0.23,0.18,0.12,0.09,0.15,0.12,0.06,0.06,0.06,0.06,0.14,0.04,0.18,0.17,0.14,-,-,-,-
EPS Growth,58.33%,166.67%,53.33%,50.00%,100.00%,40.63%,138.10%,106.90%,-55.56%,48.84%,-64.61%,-66.86%,-3.57%,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,0.35,0.26,0.52,0.06,0.29,0.18,0.20,0.20,0.34,0.08,0.13,-0.27,0.01,-0.22,0.32,0.23,0.25,0.35,-,-,-
Dividend Per Share,0.040,0.040,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,-,-,-,-,-,-,-,-,-
Dividend Growth,60.00%,60.00%,0%,0%,0%,0%,0%,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-
Operating Margin,27.82%,34.09%,34.08%,29.30%,20.91%,13.81%,26.06%,22.65%,14.04%,14.14%,15.25%,13.84%,26.93%,14.34%,31.93%,31.17%,26.86%,28.63%,32.32%,15.64%,-
Profit Margin,20.66%,24.81%,26.18%,22.67%,16.06%,10.52%,19.24%,16.55%,9.52%,9.19%,10.24%,9.90%,20.08%,9.56%,21.97%,22.31%,18.22%,18.24%,24.61%,10.12%,-
Free Cash Flow Margin,38.90%,27.53%,59.42%,7.12%,39.76%,23.61%,25.02%,26.94%,52.21%,12.33%,21.30%,-46.26%,1.87%,-22.36%,39.04%,29.57%,32.98%,41.74%,35.79%,-,-
Effective Tax Rate,26.26%,27.48%,23.92%,22.56%,24.81%,21.45%,23.73%,23.76%,23.40%,22.04%,21.61%,22.33%,25.05%,32.86%,31.21%,28.41%,32.17%,36.30%,23.87%,35.31%,-
EBITDA,4.99,6.31,5.96,4.69,3.41,2.47,4.14,3.45,2.26,2.11,1.99,1.97,3.55,1.22,3.3,2.7,2.47,2.86,2.9,-,-
EBITDA Margin,30.97%,37.15%,37.97%,33.45%,25.98%,17.75%,29.57%,26.38%,19.73%,17.53%,18.27%,18.71%,29.61%,12.29%,40.60%,34.36%,32.14%,33.98%,37.77%,-,-
Depreciation & Amortization,0.48,0.5,0.56,0.59,0.61,0.61,0.61,0.61,0.84,0.69,0.57,0.63,0.34,-0.19,0.7,0.25,0.41,0.45,0.42,-,-
EBIT,4.52,5.82,5.4,4.11,2.81,1.87,3.54,2.84,1.42,1.42,1.43,1.34,3.21,1.41,2.6,2.45,2.06,2.41,2.48,1.18,-
EBIT Margin,28.01%,34.21%,34.41%,29.27%,21.36%,13.39%,25.23%,21.70%,12.43%,11.79%,13.06%,12.74%,26.79%,14.24%,31.93%,31.17%,26.86%,28.63%,32.32%,15.64%,-
