Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",0.32,0.52,0.4,0.12,0.16,0.01,0,0
Other Operating Expenses,0.13,0.03,0.02,0.02,-0.03,0.1,0,0
Operating Expenses,0.45,0.55,0.42,0.14,0.14,0.11,0,0
Operating Income,-0.45,-0.55,-0.42,-0.14,-0.14,-0.11,-0,-0
Other Expense / Income,-0.38,-0.2,-0.06,-0,-0,-0,-0,-
Pretax Income,-0.07,-0.34,-0.36,-0.14,-0.14,-0.11,-0,-0
Income Tax,0.08,0,0,0,0,0,0,0
Net Income,-0.15,-0.34,-0.36,-0.14,-0.14,-0.11,-0,-0
Shares Outstanding (Basic),6,6,6,6,3,5,1,1
Shares Outstanding (Diluted),6,6,6,6,3,5,1,1
Shares Change,71.26%,22.23%,484.97%,484.97%,-,-,-,-
EPS (Basic),-0.05,-0.08,-0.06,-0.02,0.54,-0.99,-,-
EPS (Diluted),-0.05,-0.08,-0.06,-0.02,0.54,-0.99,-,-
Free Cash Flow Per Share,-0.03,-0.09,-0.04,-0.03,-0.09,-0.00,-0.01,-0.00
EBITDA,-0.07,-0.34,-0.36,-0.14,-0.14,-0.11,-0,-0
EBIT,-0.07,-0.34,-0.36,-0.14,-0.14,-0.11,-0,-0
