Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",2.27,0.46,0.39,0.36,0.3,0,0,0,0.01
Operating Expenses,2.27,0.46,0.39,0.36,0.3,0,0,0,0.01
Operating Income,-2.27,-0.46,-0.39,-0.36,-0.3,-0,-0,-0,-0.01
Other Expense / Income,-2.54,-1.99,-1.07,-0.31,-0.02,-,-,-,-
Pretax Income,0.27,1.53,0.68,-0.05,-0.28,-0,-0,-0,-0.01
Net Income,0.27,1.53,0.68,-0.05,-0.28,-0,-0,-0,-0.01
Shares Outstanding (Basic),29,29,29,29,24,5,5,5,5
Shares Outstanding (Diluted),29,29,29,29,24,5,5,5,5
Shares Change,18.49%,475.24%,475.00%,475.00%,385.28%,-,-,-,-
EPS (Basic),0.01,0.06,0.02,-,-0.01,-,-,-,-
EPS (Diluted),0.01,0.06,0.02,-,-0.01,-,-,-,-
Free Cash Flow Per Share,-0.04,-0.01,-0.01,-0.01,-0.05,-0.00,-,-,-
EBITDA,0.27,1.53,0.68,-0.05,-0.28,-0,-0,-0,-0.01
EBIT,0.27,1.53,0.68,-0.05,-0.28,-0,-0,-0,-0.01
