Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-07-27
"Selling, General & Admin",0.41,0.34,0.89,0.41,0.15,0,0
Other Operating Expenses,0.05,0.05,0.05,0.05,0.02,0,0
Operating Expenses,0.46,0.39,0.94,0.46,0.18,0,0
Operating Income,-0.46,-0.39,-0.94,-0.46,-0.18,-0,-0
Other Expense / Income,-3.42,-2.33,-1.01,-2.64,-4.15,-,-
Pretax Income,2.96,1.94,0.08,2.18,3.97,-0,-0
Income Tax,0.25,0.15,0.01,0,0,0,0
Net Income,2.71,1.8,0.07,2.18,3.97,-0,-0
Net Income Growth,-31.74%,-,-,-,-,-,-
Shares Outstanding (Basic),18,18,18,18,7,4,4
Shares Outstanding (Diluted),18,18,18,18,7,4,4
Shares Change,159.27%,350.09%,400.00%,-,-,-,-
EPS (Basic),0.15,0.10,-,0.12,0.57,-,-
EPS (Diluted),0.15,0.10,-,0.12,0.57,-,-
EPS Growth,-73.68%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.03,-0.01,-0.01,-0.01,-0.11,-0.00,-0.00
Effective Tax Rate,8.45%,7.48%,8.86%,-,-,-,-
EBITDA,2.96,1.94,0.08,2.18,3.97,-0,-0
EBIT,2.96,1.94,0.08,2.18,3.97,-0,-0
