Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31
Revenue,4.33,3.23,4.22,4.19,4.12,3.71,4,4.34,4.26,3.21,3.8,3.77,3.46,3.37,3.47,3.15,3.04,3.38,3.12,3.06,3.12
Revenue Growth (YoY),5.08%,-13.14%,5.48%,-3.36%,-3.24%,15.60%,5.27%,15.03%,22.93%,-4.72%,9.27%,19.67%,13.88%,-0.27%,11.42%,3.14%,-2.41%,-,-,-,-
Gross Profit,4.33,3.23,4.22,4.19,4.12,3.71,4,4.34,4.26,3.21,3.8,3.77,3.46,3.37,3.47,3.15,3.04,3.38,3.12,3.06,3.12
"Selling, General & Admin",3.24,4.82,3.08,3.25,3.07,2.83,2.85,2.75,2.62,2.94,2.77,2.71,2.7,2.75,3.05,2.4,2.44,2.55,2.3,2.29,2.4
Other Operating Expenses,0.58,0.63,0.63,0.7,0.6,0.43,0.55,0.58,0.48,0.53,0.55,0.51,0.48,0.46,1.26,0.53,0.42,0.43,0.49,0.47,0.44
Operating Expenses,3.82,5.44,3.71,3.95,3.67,3.26,3.4,3.33,3.09,3.47,3.32,3.22,3.18,3.21,4.31,2.93,2.86,2.98,2.78,2.76,2.84
Operating Income,0.5,-2.22,0.51,0.25,0.45,0.45,0.6,1.01,1.16,-0.25,0.47,0.55,0.28,0.16,-0.83,0.22,0.18,0.4,0.34,0.3,0.28
Pretax Income,0.5,-2.22,0.51,0.25,0.45,0.45,0.6,1.01,1.16,-0.25,0.47,0.55,0.28,0.16,-0.83,0.22,0.18,0.4,0.34,0.3,0.28
Income Tax,0.04,-0.61,0.04,0.07,0.06,0.04,0.14,0.17,0.26,-0.15,0.08,0.02,0.02,0.02,-0.22,0.01,0,0.07,0.06,0.05,0.06
Net Income,0.46,-1.61,0.47,0.18,0.39,0.42,0.46,0.83,0.91,-0.1,0.39,0.53,0.26,0.14,-0.61,0.21,0.18,0.33,0.27,0.25,0.22
Net Income Growth,18.37%,-,1.08%,-78.39%,-56.83%,-,18.11%,56.87%,253.31%,-,-,149.30%,44.38%,-56.80%,-,-16.14%,-19.82%,-,-,-,-
Shares Outstanding (Basic),5,6,5,5,5,6,5,5,5,5,5,5,5,2,4,5,5,5,-,-,-
Shares Outstanding (Diluted),5,6,5,5,5,6,5,5,5,5,5,5,5,2,4,-,-,-,-,-,-
Shares Change,-3.67%,-0.86%,-0.44%,-0.70%,-0.57%,18.54%,-0.99%,-0.77%,-0.38%,117.91%,21.36%,-3.63%,-3.67%,-55.71%,-,-,-,-,-,-,-
EPS (Basic),0.10,-0.32,0.10,0.04,0.08,-0.01,0.10,0.17,0.19,-0.02,0.08,0.11,0.05,0.13,-0.16,-,-,-,-,-,-
EPS (Diluted),0.10,-0.32,0.10,0.04,0.08,-0.01,0.10,0.17,0.19,-0.02,0.08,0.11,0.05,0.13,-0.16,-,-,-,-,-,-
EPS Growth,25.00%,-,0%,-78.57%,-58.12%,-,14.29%,55.56%,297.92%,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.09,-0.15,-0.23,0.57,0.02,-0.05,0.05,0.17,0.33,-0.33,0.06,0.56,-0.06,-0.12,0.40,-0.17,0.06,-0.07,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,11.65%,-68.81%,12.03%,5.87%,10.93%,12.17%,15.02%,23.19%,27.35%,-7.88%,12.49%,14.69%,8.09%,4.87%,-23.98%,6.95%,5.99%,11.83%,10.74%,9.82%,8.89%
Profit Margin,10.72%,-49.77%,11.10%,4.29%,9.52%,11.23%,11.59%,19.20%,21.33%,-3.14%,10.33%,14.08%,7.42%,4.24%,-17.65%,6.76%,5.86%,9.79%,8.76%,8.31%,7.13%
Free Cash Flow Margin,-10.08%,-27.16%,-25.79%,65.42%,2.19%,-7.30%,5.56%,19.43%,37.38%,-51.09%,7.74%,73.25%,-8.98%,-8.10%,46.03%,-27.86%,10.63%,-9.82%,21.36%,3.04%,-40.96%
Effective Tax Rate,7.94%,-,7.69%,26.83%,12.89%,7.74%,22.83%,17.20%,21.99%,-,17.30%,4.15%,8.21%,12.80%,-,2.74%,2.20%,17.25%,18.51%,15.33%,19.86%
EBITDA,0.62,-2.1,0.64,0.38,0.59,0.59,0.74,1.15,1.31,-0.11,0.62,0.7,0.42,0.3,-0.7,0.35,0.31,0.53,0.47,0.44,0.41
EBITDA Margin,14.37%,-65.05%,15.11%,9.09%,14.23%,16.00%,18.47%,26.41%,30.66%,-3.42%,16.25%,18.56%,12.25%,8.75%,-20.18%,11.17%,10.33%,15.71%,15.07%,14.27%,13.29%
Depreciation & Amortization,0.12,0.12,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14
EBIT,0.5,-2.22,0.51,0.25,0.45,0.45,0.6,1.01,1.16,-0.25,0.47,0.55,0.28,0.16,-0.83,0.22,0.18,0.4,0.34,0.3,0.28
EBIT Margin,11.65%,-68.81%,12.03%,5.87%,10.93%,12.17%,15.02%,23.19%,27.35%,-7.88%,12.49%,14.69%,8.09%,4.87%,-23.98%,6.95%,5.99%,11.83%,10.74%,9.82%,8.89%
