Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
Revenue,"3,050.27","2,690.34","2,412.83","1,712.38","2,199.21","2,968.8","3,268.84","2,943.68","3,033.16","3,154.05","2,958.01","2,500.03","3,148.06","3,188","2,492.94","1,774.51","2,093.65","1,850.12","2,039.42","1,613.72","1,593.7","1,452.77","1,317.12","1,218.6","1,389.91",-
Revenue Growth (YoY),38.70%,-9.38%,-26.19%,-41.83%,-27.49%,-5.87%,10.51%,17.75%,-3.65%,-1.06%,18.66%,40.89%,50.36%,72.31%,22.24%,9.96%,31.37%,27.35%,54.84%,32.42%,14.66%,-,-,-,-,-
Cost of Revenue,"2,006.91","1,793.08","1,779.55","1,251.55",986.95,"1,462.27","1,607.36","1,574.67","1,513.07","2,175.93","1,990.14","2,333.05","1,670.4","1,487.24","1,394.02","1,057.75","1,168.54","1,082.67","1,171.64","1,162.1","1,159.67","1,115.28","1,039.29",947.86,"1,148.07",-
Gross Profit,"1,043.36",897.26,633.28,460.83,"1,212.26","1,506.52","1,661.48","1,369.02","1,520.09",978.12,967.87,166.98,"1,477.66","1,700.76","1,098.92",716.76,925.1,767.44,867.78,451.62,434.04,337.49,277.83,270.74,241.84,-
"Selling, General & Admin",520.06,528.93,590.58,477.44,445.9,591.4,615.66,476.61,468.74,462.33,441.22,353.4,639.73,619.03,409.66,282.39,287.94,207.78,213.98,160.15,164.57,160.36,154.87,129.35,145.87,-
Research & Development,135.67,140.56,154.53,152.51,163.64,131,130.45,124.21,95.12,118.33,134.61,126.21,101.34,121.11,99.69,93.85,79.96,93.6,78.52,68.09,67.01,67.07,57.01,44.21,45.53,-
Operating Expenses,655.72,669.49,745.11,629.95,609.54,722.39,746.11,600.81,563.86,580.65,575.83,479.61,741.07,740.14,509.35,376.24,367.89,301.38,292.5,228.24,231.57,227.42,211.88,173.56,191.4,-
Operating Income,387.64,227.76,-111.83,-169.12,602.72,784.13,915.37,768.21,956.23,397.47,392.04,-312.63,736.59,960.62,589.57,340.52,557.21,466.07,575.28,223.38,202.46,110.06,65.95,97.18,50.44,-
Interest Expense / Income,8.19,16.2,15.94,15.31,12.75,14.02,16.66,19.69,18.07,23.45,23.71,12.31,29.48,8.59,-1.31,2.46,4.34,8.29,6.79,3.64,7.29,23.97,22.54,21.72,20.85,-
Other Expense / Income,5.73,-134.73,-332.68,-281.9,287.11,83.64,-38.51,-94.28,334.26,-15.39,-127.35,478.44,93.11,103.74,-143.51,-171.78,-256.99,-64.12,10.01,0.45,-14.71,-51.42,6.01,-14.32,9.84,-
