Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31
Revenue,"7,040","7,383","6,846","6,806","6,483","6,918","6,182","6,238","6,033","6,116","5,459","5,261","4,618","4,961","4,378","4,305","4,128","4,226","3,683","3,857","3,685","3,744","3,239","3,136","2,975","2,981","2,667","2,650","2,544","2,556","2,258","2,297","2,137","2,193","1,975","1,983",-
Revenue Growth (YoY),8.59%,6.72%,10.74%,9.11%,7.46%,13.11%,13.24%,18.57%,30.64%,23.28%,24.69%,22.21%,11.87%,17.39%,18.87%,11.62%,12.02%,12.87%,13.71%,22.99%,23.87%,25.60%,21.45%,18.34%,16.94%,16.63%,18.11%,15.37%,19.05%,16.55%,14.33%,15.83%,-,-,-,-,-
Cost of Revenue,"4,213","4,253","3,864","4,028","3,720","3,834","3,336","3,214","3,066","3,203","2,815","2,706","2,729","2,732","2,431","2,344","2,278","2,295","2,011","2,034","1,922","1,573","1,811","1,707","1,604","1,589","1,426","1,383","1,303","1,294","1,136","1,097","1,002","1,003",974,932,-
Gross Profit,"2,827","3,130","2,982","2,778","2,763","3,084","2,846","3,024","2,967","2,913","2,644","2,555","1,889","2,229","1,947","1,961","1,850","1,931","1,672","1,823","1,763","2,171","1,428","1,429","1,371","1,392","1,241","1,267","1,241","1,262","1,122","1,200","1,135","1,190","1,001","1,051",-
"Selling, General & Admin",943,"1,039","1,007","1,109","1,201","1,236","1,047","1,150","1,126","1,174",974,926,857,872,717,775,748,831,702,694,628,760,571,566,503,528,494,511,464,480,442,449,439,614,368,375,-
Research & Development,721,822,801,815,815,796,755,746,741,732,674,631,605,558,533,483,511,490,452,441,448,"1,054",240,232,214,215,215,209,195,208,197,202,185,96,232,221,-
Other Operating Expenses,164,25,56,90,36,2,1,1,58,44,19,47,29,0,0,-2,73,12,28,116,153,-486,194,201,223,189,184,176,175,163,153,151,189,132,129,125,0
Operating Expenses,"1,828","1,886","1,864","2,014","2,052","2,034","1,803","1,897","1,925","1,950","1,667","1,604","1,491","1,430","1,250","1,256","1,332","1,333","1,182","1,251","1,229","1,328","1,005",999,940,932,893,896,834,851,792,802,813,842,729,721,-
Operating Income,999,"1,244","1,118",764,711,"1,050","1,043","1,127","1,042",963,977,951,398,799,697,705,518,598,490,572,534,843,423,430,431,460,348,371,407,411,330,398,322,348,272,330,-
Other Expense / Income,-75,134,-460,715,82,344,-122,-229,170,-896,-167,-848,135,-55,213,-238,-199,-88,-43,-37,-14,-21,-28,-17,-7,-9,-12,-9,-15,-7,-20,-1,1,1,-4,4,-
Pretax Income,"1,074","1,110","1,578",49,629,706,"1,165","1,356",872,"1,859","1,144","1,799",263,854,484,943,717,686,533,609,548,864,451,447,438,469,360,380,422,418,350,399,321,347,276,326,-
Income Tax,279,189,248,390,120,-95,78,172,-225,292,123,269,179,347,22,120,50,102,97,83,37,244,71,36,54,79,37,57,57,51,49,94,66,61,42,45,-
Net Income,795,921,"1,330",-341,509,801,"1,087","1,184","1,097","1,567","1,021","1,530",84,507,462,823,667,584,436,526,511,620,380,411,384,390,323,323,365,367,301,305,255,286,234,281,-
