Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Revenue,41.54,41.51,38.69,33.46,31.85,23.61,21.79,19.48,17.32,15.34,13.53,13.85,12.25,0
Revenue Growth (YoY),30.44%,75.84%,77.55%,71.79%,83.86%,53.88%,61.10%,40.65%,41.41%,-,-,-,-,-
Gross Profit,41.54,41.51,38.69,33.46,31.85,23.61,21.79,19.48,17.32,15.34,13.53,13.85,12.25,0
"Selling, General & Admin",9.11,8.06,8.84,8.44,7.93,5.85,4.79,4.4,4.75,5.35,3.29,2.11,1.8,0.49
Other Operating Expenses,2.01,1.53,1.92,1.55,1.51,0.94,0.76,0.57,0.71,0.37,0.73,0.7,0.48,0
Operating Expenses,11.13,9.59,10.75,9.98,9.44,6.79,5.56,4.97,5.45,5.72,4.02,2.81,2.28,0.49
Operating Income,30.41,31.92,27.94,23.48,22.41,16.82,16.24,14.51,11.87,9.63,9.51,11.04,9.97,-0.49
Interest Expense / Income,11.08,10.28,9.31,7.76,6.8,6.24,5.11,4.43,4.62,4.34,3.89,4.28,4.26,0
Other Expense / Income,-3.16,23.22,30.63,23.44,24.67,-44.53,-16.06,-14.63,-18.07,-4.44,-6.72,-0.12,40.76,-
Pretax Income,22.49,-1.59,-12,-7.72,-9.07,55.11,27.18,24.71,25.32,9.72,12.33,6.88,-35.05,-0.49
Net Income,22.49,-1.59,-12,-7.72,-9.07,55.11,27.18,24.71,25.32,9.72,12.33,6.88,-35.05,-0.49
Net Income Growth,-,-,-,-,-,466.80%,120.37%,258.98%,-,-,-,-,-,-
Shares Outstanding (Basic),35,35,33,31,27,27,27,26,24,18,18,18,18,0
Shares Outstanding (Diluted),39,39,37,31,31,31,30,26,24,18,18,18,18,0
Shares Change,25.91%,27.31%,21.90%,16.91%,30.62%,67.34%,65.00%,46.49%,32.17%,182704470.00%,-,-,-,-
EPS (Basic),0.64,-0.02,-0.36,-0.25,-0.33,2.07,1.02,0.93,1.08,0.54,0.68,0.38,-1.97,-
EPS (Diluted),0.60,-0.02,-0.36,-0.25,-0.33,1.87,0.94,0.93,1.08,0.54,0.68,0.38,-1.97,-
EPS Growth,-,-,-,-,-,246.30%,38.24%,144.74%,-,-,-,-,-,-
Free Cash Flow Per Share,0.58,-1.45,0.32,-4.63,-1.91,-5.05,-1.87,-1.34,-0.86,-2.98,0.45,-0.73,0.06,-
Dividend Per Share,-,-,0.600,0.570,0.550,0.360,0.330,0.290,0.280,-,-,-,-,-
Dividend Growth,-,-,81.82%,96.55%,96.43%,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-
Operating Margin,73.21%,76.89%,72.21%,70.16%,70.36%,71.24%,74.51%,74.48%,68.53%,62.75%,70.29%,79.74%,81.37%,-
Profit Margin,54.13%,-3.83%,-31.02%,-23.08%,-28.47%,233.46%,124.74%,126.85%,146.21%,63.38%,91.19%,49.70%,-286.18%,-
Free Cash Flow Margin,49.12%,-122.43%,27.33%,-428.55%,-164.25%,-582.14%,-228.25%,-182.29%,-116.73%,-355.36%,60.76%,-95.91%,8.96%,-
EBITDA,33.57,8.7,-2.69,0.04,-2.27,61.35,32.29,29.13,29.94,14.06,16.23,11.15,-30.78,-0.49
EBITDA Margin,80.81%,20.95%,-6.96%,0.11%,-7.12%,259.90%,148.20%,149.57%,172.86%,91.67%,119.97%,80.55%,-251.33%,-
Depreciation & Amortization,0,0,0,0,0,0,0,0,0,0,0,-0.01,0.01,0
EBIT,33.57,8.7,-2.69,0.04,-2.27,61.35,32.29,29.13,29.94,14.06,16.23,11.16,-30.79,-0.49
EBIT Margin,80.81%,20.95%,-6.96%,0.11%,-7.12%,259.90%,148.20%,149.57%,172.86%,91.67%,119.97%,80.62%,-251.40%,-
