Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.37,0.4,0.3,0.29,0.4,0.25,0.13,0.03
Operating Expenses,0.37,0.4,0.3,0.29,0.4,0.25,0.13,0.03
Operating Income,-0.37,-0.4,-0.3,-0.29,-0.4,-0.25,-0.13,-0.03
Other Expense / Income,-1.66,-6.2,0.32,-6.01,-5.78,-14.39,-,-
Pretax Income,1.29,5.8,-0.62,5.72,5.37,14.14,-0.13,-0.03
Net Income,1.29,5.8,-0.62,5.72,5.37,14.14,-0.13,-0.03
Net Income Growth,-76.09%,-58.97%,-,-,-,-,-,-
Shares Outstanding (Basic),38,38,38,38,38,13,6,6
Shares Outstanding (Diluted),38,38,38,38,38,13,6,6
Shares Change,-,185.93%,500.00%,500.00%,-,-,-,-
EPS (Basic),0.03,0.20,-0.05,0.14,0.14,1.07,-,-
EPS (Diluted),0.03,0.20,-0.05,0.14,0.14,1.07,-,-
EPS Growth,-78.57%,-81.31%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.00,-0.03,-0.00,-0.00,-
EBITDA,1.29,5.8,-0.62,5.72,5.37,14.14,-0.13,-0.03
EBIT,1.29,5.8,-0.62,5.72,5.37,14.14,-0.13,-0.03
