Metrics,2023-02-28,2022-11-30,2022-08-31,2022-05-31,2022-02-28,2021-11-30
"Selling, General & Admin",0.3,0.2,0.05,0.05,0.2,0
Operating Expenses,0.3,0.2,0.05,0.05,0.2,0
Operating Income,-0.3,-0.2,-0.05,-0.05,-0.2,-0
Other Expense / Income,-0.78,-0.85,-0.39,-0.09,-0,-
Pretax Income,0.48,0.65,0.34,0.04,-0.2,-0
Net Income,0.48,0.65,0.34,0.04,-0.2,-0
Shares Outstanding (Basic),3,3,3,15,3,3
Shares Outstanding (Diluted),3,3,3,15,3,3
Shares Change,-,15.00%,-,-,-,-
EPS (Basic),0.04,0.05,0.02,-,-0.02,-
EPS (Diluted),0.04,0.05,0.02,-,-0.02,-
Free Cash Flow Per Share,-0.10,-0.06,-0.01,-0.00,-0.06,-
EBITDA,0.48,0.65,0.34,0.04,-0.2,-0
EBIT,0.48,0.65,0.34,0.04,-0.2,-0
