Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+25 Quarters
Revenue,532.87,436.52,416.57,435.76,506.46,461.59,473.75,512.45,567.58,479.43,455.04,519.09,603.17,487.53,521.14,551.19,544.75,466.35,455.64,491.04,524.77,-708.17,827.03,848.9,783.19,-598.03,734.82,653.77,640.65,881.75,685.3,669.13,547.57,491.37,436.22,417.2,444.79,421.29,404.19,"1,193.17",Upgrade
Revenue Growth (YoY),5.21%,-5.43%,-12.07%,-14.97%,-10.77%,-3.72%,4.11%,-1.28%,-5.90%,-1.66%,-12.68%,-5.82%,10.72%,4.54%,14.37%,12.25%,3.81%,-,-44.91%,-42.16%,-33.00%,-,12.55%,29.85%,22.25%,-,7.23%,-2.30%,17.00%,79.45%,57.10%,60.39%,23.11%,16.63%,7.92%,-65.03%,-0.04%,-4.57%,-8.20%,165.42%,Upgrade
Gross Profit,532.87,436.52,416.57,435.76,506.46,461.59,473.75,512.45,567.58,479.43,455.04,519.09,603.17,487.53,521.14,551.19,544.75,466.35,455.64,491.04,524.77,-708.17,827.03,848.9,783.19,-598.03,734.82,653.77,640.65,881.75,685.3,669.13,547.57,491.37,436.22,417.2,444.79,421.29,404.19,"1,193.17",Upgrade
"Selling, General & Admin",420.07,349.95,325.21,324.18,380.38,594.59,408.57,404.68,413.92,412.27,345.28,385.12,476.86,445.19,405.17,423.77,384.55,416.8,334.1,370.07,388.52,-451.22,646.87,635.83,620.96,-457.55,587.95,552.08,536.27,805.5,576.47,562.58,470.36,427.12,386.03,350.83,376.66,372.12,338.53,883.71,Upgrade
Other Operating Expenses,64.15,73.9,66.41,70.42,68.73,69.1,75.5,73.37,69.16,70.76,79.13,70.72,72.76,79.55,95.59,74.99,71.97,74.04,64.69,66.5,66.7,-45.31,103.68,98.62,91.49,-46.86,82.96,68.73,69.51,167.93,72.05,73.88,56.82,126.26,54.31,42.6,43.05,43.7,42.99,91.22,Upgrade
Operating Expenses,484.22,423.85,391.62,394.6,449.11,663.68,484.07,478.06,483.08,483.03,424.4,455.84,549.63,524.74,500.76,498.76,456.52,490.84,398.79,436.58,455.22,-496.53,750.55,734.44,712.45,-504.41,670.91,620.82,605.78,973.43,648.52,636.46,527.18,553.37,440.33,393.44,419.71,415.82,381.52,974.93,Upgrade
Operating Income,48.65,12.67,24.95,41.15,57.35,-202.09,-10.32,34.39,84.5,-3.6,30.64,63.25,53.54,-37.21,20.38,52.43,88.23,-24.49,56.86,54.47,69.56,-211.64,76.48,114.46,70.74,-93.62,63.91,32.95,34.88,-91.68,36.78,32.67,20.38,-62,-4.12,23.77,25.08,5.48,22.67,218.24,Upgrade
Interest Expense / Income,15.74,14.79,14.5,14.34,14.3,16.06,16.74,18.68,17.85,21.81,19.67,17.63,17.51,16.81,15.26,14.99,13.2,12.38,10.72,10.03,9.37,7.28,24.43,26.49,18.76,3.85,18.83,14.62,13.46,27.74,16.94,18.44,15.9,10.18,9.2,9.23,9.34,9.48,9.16,9.99,Upgrade
Other Expense / Income,1.87,-2.35,-6.13,-3.06,2.42,-310.56,-8.96,0.67,8.99,-14.66,-6.43,9.11,11.49,-24.7,2.46,8.84,-16.73,-29.43,-97.17,-5.34,-20.14,-136.81,-61.33,18.5,8.48,-152.53,-72.4,-6.69,4.07,-297.17,-47.27,2.61,-19.62,-23.81,-39.33,3.34,6.99,-7.82,-22.49,95.07,Upgrade
Pretax Income,31.04,0.23,16.58,29.87,40.63,92.41,-18.09,15.05,57.66,-10.76,17.41,36.52,24.55,-29.31,2.66,28.6,91.77,-7.44,143.31,49.77,80.32,-82.11,113.38,69.47,43.5,55.06,117.48,25.02,17.35,177.75,67.11,11.62,24.1,-48.37,26.02,11.2,8.75,3.82,36,113.18,Upgrade
