Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31
Revenue,140.86,93.59,71.1,141.12,46.06,382.95,456.5,389.12,507.66,539.15,607.26,465.46,0,891.53,0,0,0,0
Revenue Growth (YoY),205.82%,-75.56%,-84.42%,-63.73%,-90.93%,-28.97%,-24.83%,-16.40%,-,-39.52%,-,-,-,-,-,-,-,-
Gross Profit,140.86,93.59,71.1,141.12,46.06,382.95,456.5,389.12,507.66,539.15,607.26,465.46,0,891.53,0,0,0,0
"Selling, General & Admin",83.78,215.14,258.92,325.01,107.4,371.13,411.88,400.75,373.31,382.34,362.37,318.7,0.17,818.03,0.11,0.12,0.01,0
Other Operating Expenses,0,54.33,138.18,0,0,"1,380.63",0,0,0,0,0,0,0,0,0,0,0,0
Operating Expenses,83.78,269.47,397.11,325.01,107.4,"1,751.76",411.88,400.75,373.31,382.34,362.37,318.7,0.17,818.03,0.11,0.12,0.01,0
Operating Income,57.08,-175.88,-326,-183.9,-61.35,"-1,368.8",44.62,-11.64,134.35,156.81,244.89,146.76,-0.17,73.49,-0.11,-0.12,-0.01,-0
Other Expense / Income,51.49,-119.58,-238.54,-142.28,-45.13,-947.16,18.8,-14.99,13.35,5.03,-2.21,-2.02,-6.89,21.21,-1.56,-1.76,-,-
Pretax Income,5.59,-56.3,-87.46,-41.62,-16.22,-421.65,25.82,3.35,121,151.79,247.1,148.78,6.73,52.28,1.45,1.64,-0.01,-0
Income Tax,2.53,0.73,-2.97,-0.94,-7.72,-26.2,4.44,1.09,1.14,0.77,0.81,0.45,0,0.95,0,0,0,0
Net Income,3.05,-57.02,-84.49,-40.68,-8.49,-395.45,21.38,2.27,119.86,151.02,246.29,148.34,6.73,51.34,1.45,1.64,-0.01,-0
Net Income Growth,-,-,-,-,-,-,-91.32%,-98.47%,1682.19%,194.17%,16884.16%,8944.25%,-,-,-,-,-,-
Shares Outstanding (Basic),64,63,63,62,61,60,60,60,36,36,36,36,36,36,36,36,7,6
Shares Outstanding (Diluted),190,188,63,188,189,191,60,191,36,36,36,36,36,36,36,36,7,6
Shares Change,0.45%,-1.24%,4.92%,-1.77%,427.16%,430.36%,66.57%,432.03%,-,-,-,-,400.00%,475.00%,-,-,-,-
EPS (Basic),0.05,-0.90,-1.35,-0.65,-0.14,-6.60,0.36,0.04,-,-,-,-,0.19,0.04,0.05,0.06,-,-
EPS (Diluted),0.07,-0.96,-1.35,-0.65,-0.30,-6.91,0.36,0.04,-,-,-,-,0.19,0.04,0.05,0.06,-,-
Free Cash Flow Per Share,3.44,5.45,4.85,6.86,5.26,-2.46,-1.11,-0.24,3.17,-8.70,-7.26,-3.26,-0.00,2.72,-0.01,-0.02,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-,100.00%,-,-,-,-
Operating Margin,40.52%,-187.93%,-458.51%,-130.31%,-133.19%,-357.43%,9.77%,-2.99%,26.46%,29.08%,40.33%,31.53%,-,8.24%,-,-,-,-
Profit Margin,2.17%,-60.93%,-118.83%,-28.83%,-18.44%,-103.26%,4.68%,0.58%,23.61%,28.01%,40.56%,31.87%,-,5.76%,-,-,-,-
Free Cash Flow Margin,156.11%,368.39%,428.38%,303.06%,693.83%,-38.47%,-14.61%,-3.74%,22.43%,-58.00%,-42.99%,-25.16%,-,10.97%,-,-,-,-
Effective Tax Rate,45.33%,-,-,-,-,-,17.19%,32.41%,0.94%,0.51%,0.33%,0.30%,-,1.82%,-,-,-,-
EBITDA,5.59,15.23,-87.46,-41.62,-16.22,-364.32,25.82,3.35,127.77,174.94,247.1,148.78,6.73,77.28,1.45,1.64,-0.01,-0
EBITDA Margin,3.97%,16.27%,-123.01%,-29.49%,-35.21%,-95.13%,5.66%,0.86%,25.17%,32.45%,40.69%,31.96%,-,8.67%,-,-,-,-
Depreciation & Amortization,0,71.53,0,0,0,57.33,0,0,6.78,23.15,0,0,0,25,0,0,0,0
EBIT,5.59,-56.3,-87.46,-41.62,-16.22,-421.65,25.82,3.35,121,151.79,247.1,148.78,6.73,52.28,1.45,1.64,-0.01,-0
EBIT Margin,3.97%,-60.16%,-123.01%,-29.49%,-35.21%,-110.10%,5.66%,0.86%,23.83%,28.15%,40.69%,31.96%,-,5.86%,-,-,-,-
