Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31
Revenue,235.6,225.71,201.23,184.81,201.95,207.34,190.99,191.57,182.98,194.19,177.47,186.75,110.28,241.15,231.47,220.37,214.13,214.52,224.69,228.04,218.34,217.96,220.87,202.39,176.4,169.02,151.37,134.51,131.33,125.1,133.12,120.23,126.47,120.7,111.82,106.8,99.7,-,-
Revenue Growth (YoY),16.66%,8.86%,5.36%,-3.53%,10.37%,6.77%,7.62%,2.58%,65.92%,-19.47%,-23.33%,-15.26%,-48.50%,12.41%,3.02%,-3.36%,-1.93%,-1.58%,1.73%,12.67%,23.78%,28.96%,45.92%,50.47%,34.32%,35.11%,13.70%,11.88%,3.84%,3.65%,19.05%,12.58%,26.85%,-,-,-,-,-,-
Cost of Revenue,155.29,134.83,153.01,121.37,135.61,242.77,166.08,110,273.5,176.79,106.16,98.75,96.86,171.04,214.08,147.05,139.93,151.52,150.39,154.6,143.77,168.48,150.45,131.08,105.37,91.93,83.33,76.66,73.51,69.88,66.72,67.93,74.48,65.43,54.49,61.34,56.11,-,-
Gross Profit,80.31,90.88,48.22,63.44,66.34,-35.43,24.92,81.57,-90.52,17.4,71.31,88,13.43,70.11,17.39,73.32,74.2,63,74.31,73.45,74.57,49.48,70.42,71.31,71.03,77.09,68.04,57.85,57.82,55.22,66.41,52.3,51.98,55.26,57.33,45.46,43.58,-,-
Other Operating Expenses,60.95,54.39,47.88,49.13,50.52,28.72,43.99,46.84,48.09,32.69,38.43,45.28,51.77,38.77,42.21,45.68,45.9,46.81,49.2,51.99,54.94,41.14,54.53,53.53,48.93,47.8,43.69,40.21,41.32,38.71,43.61,36.8,40.02,47.4,36.72,33.7,31.85,0,0
Operating Expenses,60.95,54.39,47.88,49.13,50.52,28.72,43.99,46.84,48.09,32.69,38.43,45.28,51.77,38.77,42.21,45.68,45.9,46.81,49.2,51.99,54.94,41.14,54.53,53.53,48.93,47.8,43.69,40.21,41.32,38.71,43.61,36.8,40.02,47.4,36.72,33.7,31.85,-,-
Operating Income,19.36,36.5,0.34,14.31,15.82,-64.16,-19.07,34.73,-138.61,-15.29,32.88,42.73,-38.34,31.34,-24.82,27.65,28.3,16.2,25.11,21.45,19.64,8.34,15.89,17.78,22.11,29.29,24.35,17.64,16.51,16.51,22.8,15.5,11.97,7.87,20.61,11.76,11.74,-,-
Interest Expense / Income,6.62,6.29,4.95,4.05,2.29,2.23,2.23,2.25,2.22,2.06,2.13,2.97,2.88,2.51,2.59,2.68,2.81,3.09,2.99,2.95,2.52,2.32,2.3,2.22,2.12,2.15,2.08,2.04,2.17,1.78,1.77,1.74,1.7,1.69,1.56,1.56,1.55,-,-
Pretax Income,12.74,30.21,-4.61,10.26,13.53,-66.39,-21.3,32.48,-140.83,-17.35,30.75,39.76,-41.22,28.83,-27.42,24.96,25.49,13.1,22.12,18.51,17.11,6.02,13.59,15.56,19.98,27.14,22.28,15.6,14.33,14.73,21.03,13.75,10.26,6.18,19.05,10.21,10.19,-,-
Income Tax,3.14,12.49,0.01,2.6,3.32,-0.09,2.59,11.64,-37.37,2.91,4.47,4.15,-4.4,8.36,-2.25,4.66,2.76,1.47,2.54,1.52,1.48,5.8,3.24,1.01,1.53,1.47,0.91,1,1.5,2.06,2.07,1.27,0.89,-2.69,1.88,0.69,1.05,-,-
