Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
"Selling, General & Admin",0.19,0.2,0.02,-,0.03,0,0
Operating Expenses,0.19,0.2,0.02,-,0.03,0,0
Operating Income,-0.19,-0.2,-0.02,-,-0.03,-0,0
Other Expense / Income,-2.52,-1.69,-,-,-,-,-
Pretax Income,2.33,1.49,-0.02,-,-0.03,-0,0
Net Income,2.33,1.49,-0.02,-,-0.03,-0,0
Shares Outstanding (Basic),31,12,7,27,7,6,7
Shares Outstanding (Diluted),31,12,7,-,8,6,7
Shares Change,300.00%,101.00%,-,-,-,-,-
EPS (Basic),0.08,0.13,-,-,-,-,-
EPS (Diluted),0.08,0.13,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.08,-,-,-,-,-
EBITDA,2.33,1.49,-0.02,-,-0.03,-0,-
EBIT,2.33,1.49,-0.02,-,-0.03,-0,0
