Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.3,0.2,0.2,0.16,0.24,0.31,0.16,0.11,0
Operating Expenses,0.3,0.2,0.2,0.16,0.24,0.31,0.16,0.11,0
Operating Income,-0.3,-0.2,-0.2,-0.16,-0.24,-0.31,-0.16,-0.11,-0
Other Expense / Income,-3.87,-4.76,-4.19,-7.23,-1.81,-3.95,3.93,0.67,-
Pretax Income,3.57,4.56,3.99,7.07,1.57,3.64,-4.09,-0.78,-0
Income Tax,0.7,0.41,0.02,0,0,0,0,0,0
Net Income,2.87,4.15,3.97,7.07,1.57,3.64,-4.09,-0.78,-0
Net Income Growth,82.88%,14.12%,-,-,-,-,-,-,-
Shares Outstanding (Basic),50,50,50,50,50,37,50,21,9
Shares Outstanding (Diluted),50,50,50,50,50,37,50,21,9
Shares Change,-,36.14%,-,136.69%,471.43%,-,-,-,-
EPS (Basic),0.06,0.09,0.08,0.14,0.03,0.13,-0.08,-0.04,-
EPS (Diluted),0.06,0.09,0.08,0.14,0.03,0.13,-0.08,-0.04,-
EPS Growth,100.00%,-30.77%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.02,-0.00,-0.00,-0.01,-0.01,-0.00,-0.00,-,-
Effective Tax Rate,19.58%,9.04%,0.44%,-,-,-,-,-,-
EBITDA,3.57,4.56,3.99,7.07,1.57,3.64,-4.09,-0.78,-0
EBIT,3.57,4.56,3.99,7.07,1.57,3.64,-4.09,-0.78,-0
