Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
"Selling, General & Admin",2.08,0.85,3.59,0.48,0.16,0.01
Other Operating Expenses,0.05,0.05,0.05,0.05,0.05,0
Operating Expenses,2.13,0.9,3.64,0.53,0.21,0.01
Operating Income,-2.13,-0.9,-3.64,-0.53,-0.21,-0.01
Other Expense / Income,-3.09,-2.64,-1.62,-0.41,0.23,-
Pretax Income,0.96,1.74,-2.02,-0.12,-0.44,-0.01
Income Tax,0.64,0.54,0.33,0.02,0,0
Net Income,0.33,1.2,-2.35,-0.14,-0.44,-0.01
Shares Outstanding (Basic),40,40,40,40,19,8
Shares Outstanding (Diluted),40,40,40,40,19,8
Shares Change,110.28%,400.71%,-,-,-,-
EPS (Basic),-0.05,0.09,-0.12,-,-1.46,-
EPS (Diluted),-0.05,0.09,-0.12,-,-1.46,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.06,-
Effective Tax Rate,66.20%,31.21%,-,-,-,-
EBITDA,0.96,1.74,-2.02,-0.12,-0.44,-0.01
EBIT,0.96,1.74,-2.02,-0.12,-0.44,-0.01
