Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-30,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31
Revenue,21.65,-35.22,19.15,19.16,16.41,17.1,14.04,15.17,15.42,14.15,12.87,9.98,10.87,11.26,10.3,9.74,10.21,9.04,9.64,9.08,12.58,10.12,8.12,8.27,7.72,7.91,7.1,7.11,6.97,6.87,6.37,6.07,5.93,6.03,5.99,5.48
Revenue Growth (YoY),31.97%,-,36.44%,26.29%,6.39%,20.85%,9.09%,51.99%,41.93%,25.59%,24.89%,2.47%,6.38%,24.57%,6.83%,7.34%,-18.79%,-10.64%,18.84%,9.75%,62.95%,27.88%,14.26%,16.36%,10.73%,15.23%,11.53%,17.05%,17.50%,13.84%,6.24%,10.86%,-,-,-,-
Gross Profit,21.65,-35.22,19.15,19.16,16.41,17.1,14.04,15.17,15.42,14.15,12.87,9.98,10.87,11.26,10.3,9.74,10.21,9.04,9.64,9.08,12.58,10.12,8.12,8.27,7.72,7.91,7.1,7.11,6.97,6.87,6.37,6.07,5.93,6.03,5.99,5.48
"Selling, General & Admin",10.89,8.92,8.54,8.48,9.72,8.33,7.9,7.62,7.17,6.94,6.84,6.46,6.34,5.45,5.34,5.48,5.18,5.12,5.22,5.16,5.08,4.9,4.77,4.68,4.24,4.11,3.96,3.85,3.75,3.69,3.53,3.59,3.62,3.28,3.15,3.24
Other Operating Expenses,6.32,3.13,2.8,2.93,2.09,1.74,1.62,1.59,2.29,2.75,1.53,1.84,1.13,1.01,1.54,1.26,1.22,1.1,1.19,1.22,1.26,1.02,1.11,0.94,1.02,1.11,1.12,1.07,1.13,3.18,1.15,1.08,0.91,0.95,1.29,0.99
Operating Expenses,17.21,12.05,11.34,11.41,11.81,10.07,9.53,9.21,9.46,9.69,8.36,8.31,7.47,6.46,6.88,6.75,6.4,6.22,6.41,6.38,6.34,5.91,5.88,5.62,5.26,5.21,5.08,4.92,4.87,6.87,4.68,4.67,4.52,4.23,4.44,4.23
Operating Income,4.45,-47.27,7.81,7.75,4.6,7.03,4.51,5.96,5.97,4.46,4.51,1.68,3.4,4.8,3.42,3,3.81,2.82,3.23,2.7,6.24,4.21,2.24,2.65,2.46,2.7,2.02,2.18,2.1,-0,1.69,1.41,1.41,1.81,1.55,1.25
Other Expense / Income,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.04,0.04,0.04,0.04,0.17,-,-,0.04
Pretax Income,4.45,-47.27,7.81,7.75,4.6,7.03,4.51,5.96,5.97,4.46,4.51,1.68,3.4,4.8,3.42,3,3.81,2.82,3.23,2.7,6.24,4.21,2.24,2.65,2.46,2.7,2.02,2.18,2.06,-0.05,1.65,1.36,1.24,1.81,1.55,1.2
Income Tax,1.75,-11.96,2.19,2.23,1.01,1.94,1.34,1.66,1.67,1.26,1.26,0.45,0.85,1.3,0.89,0.78,0.98,0.74,0.84,0.68,4.5,1.43,0.64,0.85,0.73,0.94,0.66,0.7,0.65,-0.13,0.46,0.39,0.4,0.56,0.18,0.32
Net Income,2.7,-35.31,5.62,5.53,3.59,5.09,3.17,4.3,4.3,3.2,3.25,1.23,2.55,3.51,2.53,2.22,2.84,2.08,2.39,2.02,1.74,2.77,1.6,1.8,1.73,1.76,1.36,1.49,1.41,0.09,1.19,0.97,0.84,1.25,1.37,0.88
Net Income Growth,-24.85%,-,77.48%,28.58%,-16.57%,58.87%,-2.58%,249.07%,68.71%,-8.75%,28.41%,-44.50%,-10.05%,68.86%,5.90%,9.69%,62.84%,-25.01%,49.28%,12.21%,0.75%,57.35%,17.46%,21.18%,22.29%,1947.67%,14.63%,53.62%,67.81%,-93.13%,-13.46%,10.13%,-,-,-,-
Shares Outstanding (Basic),16,16,16,17,16,17,17,17,18,18,18,18,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,-,-,-
Shares Outstanding (Diluted),16,16,17,17,17,17,17,18,18,18,18,18,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,-,-,-,-,-,-,-,-
Shares Change,-3.95%,-4.52%,-2.63%,-3.02%,-4.42%,-5.42%,-4.63%,-3.85%,14.88%,-3.92%,-3.79%,-2.91%,-16.74%,0.30%,0.50%,0.11%,0.92%,1.55%,1.13%,1.11%,0.28%,0.37%,0.27%,0.27%,-3.30%,-3.36%,-3.43%,-3.49%,-,-,-,-,-,-,-,-
EPS (Basic),0.17,-2.15,0.34,0.33,0.22,0.31,0.19,0.25,0.24,0.18,0.18,0.07,0.16,0.19,0.13,0.12,0.15,0.11,0.13,0.11,0.09,0.15,0.08,0.10,0.09,0.09,0.07,0.08,-,-,-,-,-,-,-,-
EPS (Diluted),0.17,-2.15,0.33,0.32,0.21,0.30,0.18,0.24,0.24,0.18,0.18,0.07,0.16,0.19,0.13,0.12,0.15,0.11,0.13,0.11,0.09,0.15,0.08,0.10,0.09,0.09,0.07,0.08,-,-,-,-,-,-,-,-
EPS Growth,-19.05%,-,83.33%,33.33%,-12.50%,66.67%,0%,242.86%,50.00%,-5.26%,38.46%,-41.67%,3.90%,74.31%,0.78%,10.09%,63.83%,-26.35%,53.57%,10.10%,0%,57.45%,13.51%,25.32%,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,0.23,0.72,0.23,0.14,0.38,0.49,0.23,0.33,0.25,0.26,0.24,0.20,0.33,0.29,0.01,0.03,0.18,0.16,0.26,0.17,0.07,0.21,0.10,-0.06,0.10,0.16,0.08,0.07,0.07,0.12,0.06,0.01,0.13,-,-,-
Dividend Per Share,-,0.040,0.040,0.040,0.040,0.040,0.040,0.030,0.030,0.030,0.030,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dividend Growth,-,0%,0%,33.33%,33.33%,33.33%,33.33%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,-,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
