Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.22,0.25,0.32,0.15,0.25,0,0.01
Operating Expenses,0.22,0.25,0.32,0.15,0.25,0,0.01
Operating Income,-0.22,-0.25,-0.32,-0.15,-0.25,-0,-0.01
Other Expense / Income,-1.98,-1.06,-0.32,-0.02,-,-,-
Pretax Income,1.76,0.81,-0.01,-0.13,-0.25,-0,-0.01
Net Income,1.76,0.81,-0.01,-0.13,-0.25,-0,-0.01
Shares Outstanding (Basic),29,29,29,29,9,5,5
Shares Outstanding (Diluted),29,29,29,29,9,5,5
Shares Change,204.85%,475.00%,475.00%,-,-,-,-
EPS (Basic),0.06,0.03,-,-,-0.03,-,-
EPS (Diluted),0.06,0.03,-,-,-0.03,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.01,-0.06,-0.00,-
EBITDA,1.76,0.81,-0.01,-0.13,-0.25,-0,-0.01
EBIT,1.76,0.81,-0.01,-0.13,-0.25,-0,-0.01
