Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",0.5,0.52,0.27,0.29,0.51,0.52,0,0,0
Operating Expenses,0.5,0.52,0.27,0.29,0.51,0.52,0,0,0
Operating Income,-0.5,-0.52,-0.27,-0.29,-0.51,-0.52,-0,-0,-0
Other Expense / Income,-2.54,-1.9,-1.04,-0.33,-0.04,-0.02,-,-,-
Pretax Income,2.04,1.38,0.77,0.04,-0.47,-0.5,-0,-0,-0
Income Tax,0.52,0.42,0.18,0.02,0,0,0,0,0
Net Income,1.52,0.96,0.6,0.02,-0.47,-0.5,-0,-0,-0
Shares Outstanding (Basic),29,29,29,29,29,11,5,5,5
Shares Outstanding (Diluted),29,29,29,29,29,11,5,5,5
Shares Change,-,158.78%,475.00%,475.00%,475.00%,-,-,-,-
EPS (Basic),0.05,0.03,0.02,-,-0.02,-0.05,-,-,-
EPS (Diluted),0.05,0.03,0.02,-,-0.02,-0.05,-,-,-
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.01,-0.01,-0.05,-,-,-
Effective Tax Rate,25.65%,30.33%,22.93%,46.92%,-,-,-,-,-
EBITDA,2.04,1.38,0.77,0.04,-0.47,-0.5,-0,-0,-
EBIT,2.04,1.38,0.77,0.04,-0.47,-0.5,-0,-0,-0
