Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-30,2021-09-30,2021-06-30
"Selling, General & Admin",0.32,0.26,0.25,0.42,0.01,-0.02,0.03
Other Operating Expenses,0,0,0,0.5,0,0,0
Operating Expenses,0.32,0.26,0.25,0.92,0.01,-0.02,0.03
Operating Income,-0.32,-0.26,-0.25,-0.92,-0.01,0.02,-0.03
Other Expense / Income,-3.37,-2.75,-1.81,-10.37,-,-,-
Pretax Income,3.05,2.5,1.56,9.44,-0.01,0.02,-0.03
Income Tax,0.46,0.22,0.11,0,0,0,0
Net Income,2.59,2.28,1.45,9.44,-0.01,0.02,-0.03
Net Income Growth,-,11140.18%,-,-,-,-,-
Shares Outstanding (Basic),31,31,31,25,6,8,8
Shares Outstanding (Diluted),31,31,31,25,6,8,8
Shares Change,397.11%,318.60%,318.60%,-,-,-,-
EPS (Basic),0.08,0.07,0.05,0.37,-,-,-
EPS (Diluted),0.08,0.07,0.05,0.37,-,-,-
Free Cash Flow Per Share,-0.00,-0.00,-0.01,-0.04,0.06,0.00,-0.00
Effective Tax Rate,15.02%,8.70%,6.96%,-,-,-,-
EBITDA,3.05,2.5,1.56,9.44,-0.01,0.02,-0.03
EBIT,3.05,2.5,1.56,9.44,-0.01,0.02,-0.03
