Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30
Revenue,"1,909","1,892","1,986","2,149","2,272","2,169","2,461","2,589","2,247","1,944","1,479","1,045","1,384","2,000","2,439","2,188","2,505","2,090","1,947","1,867","1,835","1,845","1,837","1,699","1,690","1,826","1,822","1,610","1,728","1,738","1,762","1,666","1,629","1,645","1,607","1,561","1,500","1,499","1,596","1,419"
Revenue Growth (YoY),-15.98%,-12.77%,-19.30%,-16.99%,1.11%,11.57%,66.40%,147.75%,62.36%,-2.80%,-39.36%,-52.24%,-44.75%,-4.31%,25.27%,17.19%,36.51%,13.28%,5.99%,9.89%,8.58%,1.04%,0.82%,5.53%,-2.20%,5.06%,3.41%,-3.36%,6.08%,5.65%,9.65%,6.73%,8.60%,9.74%,0.69%,10.01%,-,-,-,-
Gross Profit,"1,909","1,892","1,986","2,149","2,272","2,169","2,461","2,589","2,247","1,944","1,479","1,045","1,384","2,000","2,439","2,188","2,505","2,090","1,947","1,867","1,835","1,845","1,837","1,699","1,690","1,826","1,822","1,610","1,728","1,738","1,762","1,666","1,629","1,645","1,607","1,561","1,500","1,499","1,596","1,419"
"Selling, General & Admin",582,580,531,539,518,576,479,473,459,486,489,418,435,537,498,493,476,519,496,461,479,486,457,442,417,436,403,408,374,413,383,358,321,392,354,304,276,307,227,226
Other Operating Expenses,537,571,533,544,521,546,482,475,473,514,578,568,567,542,566,566,567,559,558,514,509,484,501,469,491,482,456,431,426,457,460,447,425,400,374,493,334,500,348,337
Operating Expenses,"1,119","1,151","1,064","1,083","1,039","1,122",961,948,932,"1,000","1,067",986,"1,002","1,079","1,064","1,059","1,043","1,078","1,054",975,988,970,958,911,908,918,859,839,800,870,843,805,746,792,728,797,610,807,575,563
Operating Income,790,741,922,"1,066","1,233","1,047","1,500","1,641","1,315",944,412,59,382,921,"1,375","1,129","1,462","1,012",893,892,847,875,879,788,782,908,963,771,928,868,919,861,883,853,879,764,890,692,"1,021",856
Other Expense / Income,11,10,11,11,10,10,11,10,11,10,10,11,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pretax Income,779,731,911,"1,055","1,223","1,037","1,489","1,631","1,304",934,402,48,371,921,"1,375","1,129","1,462","1,012",893,892,847,875,879,788,782,908,963,771,928,868,919,861,883,853,879,764,890,692,"1,021",856
Income Tax,189,164,219,262,301,234,359,399,290,206,99,11,96,190,319,276,355,229,222,196,207,490,324,292,283,332,359,282,346,321,345,320,331,322,331,292,332,249,380,320
