Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30
Revenue,3.93,4.43,4.4,3.31,3.83,4.29,3.63,4.25,4.77,5.32,5.51,4.39,3.51,4.78,4.13,3.68,3.89,3.98,3.93,3.9,3.65,3.75,3.66
Revenue Growth (YoY),2.58%,3.15%,21.10%,-22.15%,-19.70%,-19.36%,-34.12%,-3.23%,36.04%,11.34%,33.45%,19.47%,-9.89%,20.05%,5.06%,-5.57%,6.54%,6.10%,7.35%,-,-,-,-
Gross Profit,3.93,4.43,4.4,3.31,3.83,4.29,3.63,4.25,4.77,5.32,5.51,4.39,3.51,4.78,4.13,3.68,3.89,3.98,3.93,3.9,3.65,3.75,3.66
"Selling, General & Admin",3.53,3.5,3.11,2.67,2.85,3.69,2.74,3.28,3.04,3.71,2.98,2.95,2.27,3.3,2.88,2.96,3.15,2.96,2.88,3.46,2.72,3.58,2.58
Other Operating Expenses,0.92,0.9,1.14,1.01,1.09,0.98,1.07,1.08,1.05,1.03,0.92,1.02,0.8,0.83,0.68,0.82,1.43,0.96,0.8,1.1,0.79,2.68,0.81
Operating Expenses,4.44,4.4,4.25,3.68,3.95,4.67,3.8,4.36,4.09,4.74,3.89,3.98,3.07,4.13,3.56,3.78,4.57,3.91,3.68,4.56,3.51,6.26,3.39
Operating Income,-0.51,0.03,0.15,-0.37,-0.12,-0.38,-0.17,-0.11,0.68,0.58,1.62,0.42,0.43,0.65,0.57,-0.1,-0.68,0.07,0.25,-0.66,0.14,-2.51,0.27
Pretax Income,-0.51,0.03,0.15,-0.37,-0.12,-0.38,-0.17,-0.11,0.68,0.58,1.62,0.42,0.43,0.65,0.57,-0.1,-0.68,0.07,0.25,-0.66,0.14,-2.51,0.27
Income Tax,-0.15,0,0.02,-0.13,-0.06,-0.11,-0.06,-0.06,0.16,0.16,1.21,0.23,0.15,0.16,0.14,-0.09,-0.21,0.01,0.01,-0.21,0.01,1.04,0.09
Net Income,-0.36,0.02,0.12,-0.24,-0.06,-0.27,-0.12,-0.05,0.52,0.42,0.41,0.19,0.29,0.49,0.44,-0.01,-0.47,0.06,0.25,-0.45,0.13,-3.55,0.19
