Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",1.19,0.24,0.2,0.07,0.52,0,0
Operating Expenses,1.19,0.24,0.2,0.07,0.52,0,0
Operating Income,-1.19,-0.24,-0.2,-0.07,-0.52,0,0
Other Expense / Income,-2.31,-1.31,-0.1,-0.03,-,-,-
Pretax Income,1.12,1.07,-0.1,-0.04,-0.52,0,0
Net Income,1.12,1.07,-0.1,-0.04,-0.52,0,0
Shares Outstanding (Basic),33,33,33,33,11,6,6
Shares Outstanding (Diluted),33,33,33,33,11,6,6
Shares Change,209.43%,475.00%,475.00%,-,-,-,-
EPS (Basic),0.03,0.03,-,-,-0.05,-,-
EPS (Diluted),0.03,0.03,-,-,-0.05,-,-
Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.01,-0.09,-,-
EBITDA,1.12,1.07,-0.1,-0.04,-0.52,0,-
EBIT,1.12,1.07,-0.1,-0.04,-0.52,0,0
