Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",0.47,0.34,0.37,0.01,0.62,0.43,0.4,0.16,0.01
Operating Expenses,0.47,0.34,0.37,0.01,0.62,0.43,0.4,0.16,0.01
Operating Income,-0.47,-0.34,-0.37,-0.01,-0.62,-0.43,-0.4,-0.16,-0.01
Interest Expense / Income,0,0,0,0,0,0,0,3.2,0
Other Expense / Income,-1.93,-4.44,0.88,-2.01,-24.13,12.18,-11.61,5.06,-
Pretax Income,1.47,4.11,-1.25,2,23.51,-12.61,11.22,-8.42,-0.01
Income Tax,0.76,0.65,0.28,0.01,0,0,0,0,0
Net Income,0.7,3.46,-1.53,1.99,23.51,-12.61,11.22,-8.42,-0.01
Net Income Growth,-97.00%,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),43,43,43,43,43,30,43,14,3
Shares Outstanding (Diluted),43,43,43,43,43,30,43,14,3
Shares Change,-,43.12%,-,218.18%,1481.25%,-,-,-,-
EPS (Basic),-0.07,-,-0.05,0.04,0.54,-0.29,0.26,-0.93,-
EPS (Diluted),-0.07,-,-0.05,0.04,0.54,-0.29,0.26,-0.93,-
Free Cash Flow Per Share,0.07,0.08,-0.01,-0.01,-0.01,-0.01,-0.01,-0.04,-
Effective Tax Rate,51.93%,15.74%,-,0.40%,-,-,-,-,-
EBITDA,1.47,4.11,-1.25,2,23.51,-12.61,11.22,-5.22,-0.01
EBIT,1.47,4.11,-1.25,2,23.51,-12.61,11.22,-5.22,-0.01
