Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.96,0.31,0.51,-,0.06,0.04
Operating Expenses,0.96,0.31,0.51,-,0.06,0.04
Operating Income,-0.96,-0.31,-0.51,-,-0.06,-0.04
Other Expense / Income,-0.52,-0.15,0.03,-,-,-
Pretax Income,-0.44,-0.16,-0.54,-,-0.06,-0.04
Net Income,-0.44,-0.16,-0.54,-,-0.06,-0.04
Shares Outstanding (Basic),15,15,15,3,3,3
Shares Outstanding (Diluted),15,15,15,-,3,3
Shares Change,495.60%,495.60%,-,-,-,-
EPS (Basic),-0.03,-0.01,-0.04,-,-0.02,-0.02
EPS (Diluted),-0.03,-0.01,-0.04,-,-0.02,-0.02
Free Cash Flow Per Share,-0.02,-0.01,-0.02,-,-,-0.00
EBITDA,-0.44,-0.16,-0.54,-,-0.06,-0.04
EBIT,-0.44,-0.16,-0.54,-,-0.06,-0.04
