Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",1.12,0.54,0.51,0.56,0.71,0.77,0.5,0.9,0.21,0
Operating Expenses,1.12,0.54,0.51,0.56,0.71,0.77,0.5,0.9,0.21,0
Operating Income,-1.12,-0.54,-0.51,-0.56,-0.71,-0.77,-0.5,-0.9,-0.21,-0
Other Expense / Income,-8.38,-16.8,-19.3,-16.64,-24.79,4.23,-30.03,20.28,7.44,-
Pretax Income,7.26,16.27,18.79,16.09,24.08,-5.01,29.53,-21.18,-7.65,-0
Income Tax,2.92,2.38,1.49,0.29,0,0.02,0,0,0,0
Net Income,4.34,13.88,17.29,15.8,24.08,-5.03,29.53,-21.18,-7.65,-0
Net Income Growth,-82.00%,-,-41.44%,-,-,-,-,-,-,-
Shares Outstanding (Basic),173,173,173,173,173,173,173,173,97,35
Shares Outstanding (Diluted),173,173,173,173,173,173,173,173,97,35
Shares Change,-,-0.12%,-,-,78.76%,400.60%,-,-,-,-
EPS (Basic),0.03,0.08,0.10,0.09,0.14,-0.03,0.17,-0.12,-0.08,-
EPS (Diluted),0.03,0.08,0.10,0.09,0.14,-0.03,0.17,-0.12,-0.08,-
EPS Growth,-78.57%,-,-41.18%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.02,-
Effective Tax Rate,40.27%,14.65%,7.95%,1.82%,-,-,-,-,-,-
EBITDA,7.26,16.27,18.79,16.09,24.08,-5.01,29.53,-21.18,-7.65,-0
EBIT,7.26,16.27,18.79,16.09,24.08,-5.01,29.53,-21.18,-7.65,-0
