Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.48,0.65,0.47,0.54,1.29,0.87,0.52,0,0,0
Operating Expenses,0.48,0.65,0.47,0.54,1.29,0.87,0.52,0,0,0
Operating Income,-0.48,-0.65,-0.47,-0.54,-1.29,-0.87,-0.52,0,0,0
Interest Expense / Income,0,0,0,0,0,0,0,0,0,0
Other Expense / Income,-4.86,-1.72,-1.67,-0.39,-0.16,-0.04,-0.03,-,-,-
Pretax Income,4.38,1.07,1.2,-0.16,-1.13,-0.84,-0.49,0,0,0
Income Tax,1,0.59,0.18,0,0,0,0,0,0,0
Net Income,3.38,0.47,1.02,-0.16,-1.13,-0.84,-0.49,0,0,0
Shares Outstanding (Basic),43,43,43,43,43,24,37,9,9,7
Shares Outstanding (Diluted),43,43,43,43,43,24,37,9,9,7
Shares Change,-,79.96%,15.86%,400.00%,400.00%,236.34%,-,-,-,-
EPS (Basic),0.08,0.01,0.02,-,-0.03,-0.03,-0.01,-,-,-
EPS (Diluted),0.08,0.01,0.02,-,-0.03,-0.03,-0.01,-,-,-
Free Cash Flow Per Share,-0.00,-0.02,-0.01,-0.01,-0.02,-0.02,-0.04,-,-,-
Effective Tax Rate,22.84%,55.78%,14.94%,-,-,-,-,-,-,-
EBITDA,4.38,1.07,1.2,-0.15,-1.13,-0.84,-0.49,0,0,0
EBIT,4.38,1.07,1.2,-0.15,-1.13,-0.84,-0.49,0,0,0
