Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.18,0.17,0.17,0.18,0.2,0.04,0.05
Operating Expenses,0.18,0.17,0.17,0.18,0.2,0.04,0.05
Operating Income,-0.18,-0.17,-0.17,-0.18,-0.2,-0.04,-0.05
Other Expense / Income,-4.39,-0.72,-4.38,-3.92,-4.64,-,-
Pretax Income,4.21,0.55,4.21,3.74,4.44,-0.04,-0.05
Net Income,4.21,0.55,4.21,3.74,4.44,-0.04,-0.05
Net Income Growth,-5.14%,-,-,-,-,-,-
Shares Outstanding (Basic),25,25,25,25,9,4,4
Shares Outstanding (Diluted),25,25,25,25,9,4,4
Shares Change,164.89%,471.43%,566.67%,-,-,-,-
EPS (Basic),0.17,0.02,0.17,0.15,0.46,-,-
EPS (Diluted),0.17,0.02,0.17,0.15,0.46,-,-
EPS Growth,-63.04%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.01,-0.05,-0.01,-0.01
EBITDA,4.21,0.55,4.21,3.74,4.44,-0.04,-0.05
EBIT,4.21,0.55,4.21,3.74,4.44,-0.04,-0.05
