Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2018-12-31
Revenue,70.1,71.3,73.7,80.4,85.4,93.2,93.8,89.8,68.6,50.9,50.5,121.4,124,106.5,79.6,-
Revenue Growth (YoY),-17.92%,-23.50%,-21.43%,-10.47%,24.49%,83.10%,85.74%,-26.03%,-44.68%,-52.21%,-36.56%,-,-,-,-,-
Cost of Revenue,63.3,77.7,80.9,95.7,96.7,107.8,114.4,110.2,59.9,59.5,76.1,97.3,129.9,110.9,100.9,-
Gross Profit,6.8,-6.4,-7.2,-15.3,-11.3,-14.6,-20.6,-20.4,8.7,-8.6,-25.6,24.1,-5.9,-4.4,-21.3,-
"Selling, General & Admin",25.1,43.3,32.1,55.3,45.8,52.5,92.8,135.7,86.8,69.3,53.5,28.7,66.7,47.6,43.4,-
Research & Development,10.2,9.4,14.3,17.9,13.9,16.2,18,17.5,13.8,12.7,12.9,11.3,16,8.6,7,-
Other Operating Expenses,1.3,-2.3,1.1,-7.8,1,8.6,-4.5,-1.5,2.4,-2.1,-26.3,15.3,11.3,18.2,15.2,0
Operating Expenses,36.6,50.4,47.5,65.4,60.7,77.3,106.3,151.7,103,79.9,40.1,55.3,94,74.4,65.6,-
Operating Income,-29.8,-56.8,-54.7,-80.7,-72,-91.9,-126.9,-172.1,-94.3,-88.5,-65.7,-31.2,-99.9,-78.8,-86.9,-
Interest Expense / Income,11.1,10.6,9.3,9.2,5.5,2.1,6.1,6.5,5.3,44.8,19.5,7.7,5.7,6.4,13.3,-
Other Expense / Income,-,-,-,-,-,15.9,-,-,-,-,-,-,-,-,-,-
Pretax Income,-40.9,-67.4,-64,-89.9,-77.5,-109.9,-133,-178.6,-99.6,-133.3,-85.2,-38.9,-105.6,-85.2,-100.2,-
Net Income,-40.9,-67.4,-64,-89.9,-77.5,-109.9,-133,-178.6,-99.6,-133.3,-85.2,-38.9,-105.6,-85.2,-100.2,-
Shares Outstanding (Basic),14,14,14,14,14,14,14,14,14,4,2,2,2,2,2,1
Shares Outstanding (Diluted),14,14,14,14,14,14,14,14,14,4,2,2,2,2,2,-
Shares Change,1.43%,4.35%,1.44%,1.65%,1.98%,228.57%,544.71%,556.60%,528.86%,105.08%,11.54%,49.79%,-,-,-,-
EPS (Basic),-2.88,-4.66,-4.54,-6.48,-5.54,-7.96,-9.57,-12.96,-7.20,20.49,-39.60,-18.54,-48.42,-42.12,-51.84,-
EPS (Diluted),-2.88,-4.66,-4.54,-6.48,-5.54,-7.96,-9.57,-12.96,-7.20,20.49,-39.60,-18.54,-48.42,-42.12,-51.84,-
Free Cash Flow Per Share,-6.07,-3.34,-4.33,-4.00,-3.85,-3.13,-10.09,-10.00,-6.77,-46.19,-15.82,-8.26,-22.40,-28.71,-19.19,-
Gross Margin,9.70%,-8.98%,-9.77%,-19.03%,-13.23%,-15.67%,-21.96%,-22.72%,12.68%,-16.90%,-50.69%,19.85%,-4.76%,-4.13%,-26.76%,-
Operating Margin,-42.51%,-79.66%,-74.22%,-100.37%,-84.31%,-98.61%,-135.29%,-191.65%,-137.46%,-173.87%,-130.10%,-25.70%,-80.56%,-73.99%,-109.17%,-
Profit Margin,-58.35%,-94.53%,-86.84%,-111.82%,-90.75%,-117.92%,-141.79%,-198.89%,-145.19%,-261.89%,-168.71%,-32.04%,-85.16%,-80.00%,-125.88%,-
Free Cash Flow Margin,-122.97%,-67.46%,-82.90%,-70.02%,-63.11%,-46.35%,-149.47%,-154.01%,-135.42%,-381.14%,-67.52%,-14.33%,-39.44%,-55.21%,-46.61%,-
EBITDA,-27.1,-52.5,-51.8,-77.7,-68.4,-102.2,-123.1,-168.4,-90.8,-83.5,-62.2,-27.8,-96.2,-76.3,-86.1,-
EBITDA Margin,-38.66%,-73.63%,-70.28%,-96.64%,-80.09%,-109.66%,-131.24%,-187.53%,-132.36%,-164.05%,-123.17%,-22.90%,-77.58%,-71.64%,-108.17%,-
Depreciation & Amortization,2.7,4.3,2.9,3,3.6,5.6,3.8,3.7,3.5,5,3.5,3.4,3.7,2.5,0.8,-
EBIT,-29.8,-56.8,-54.7,-80.7,-72,-107.8,-126.9,-172.1,-94.3,-88.5,-65.7,-31.2,-99.9,-78.8,-86.9,-
EBIT Margin,-42.51%,-79.66%,-74.22%,-100.37%,-84.31%,-115.67%,-135.29%,-191.65%,-137.46%,-173.87%,-130.10%,-25.70%,-80.56%,-73.99%,-109.17%,-
