Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Revenue,23.55,19.11,16.47,15.29,15.12,15.4,14.19,16.03,12.28,11.83,11.33,11.38
Revenue Growth (YoY),55.79%,24.11%,16.05%,-4.64%,23.14%,30.14%,25.27%,40.81%,-,-,-,-
Gross Profit,23.55,19.11,16.47,15.29,15.12,15.4,14.19,16.03,12.28,11.83,11.33,11.38
"Selling, General & Admin",8.18,7.52,7.27,6.99,7.07,6.95,6.97,6.45,6.38,6.05,6.03,5.81
Other Operating Expenses,2.26,2.72,2.38,2.3,2.54,2.24,2.14,2.08,2.06,2.04,1.74,2.08
Operating Expenses,10.44,10.24,9.65,9.29,9.61,9.19,9.11,8.53,8.45,8.09,7.76,7.89
Operating Income,13.11,8.87,6.81,6,5.5,6.21,5.08,7.5,3.83,3.74,3.56,3.5
Pretax Income,13.11,8.87,6.81,6,5.5,6.21,5.08,7.5,3.83,3.74,3.56,3.5
Income Tax,2.52,2.17,1.59,1.44,1.45,1.29,1.18,1.82,0.51,0.55,0.64,0.82
Net Income,10.59,6.7,5.22,4.56,4.06,4.92,3.91,5.68,3.32,3.19,2.92,2.68
Net Income Growth,160.95%,36.15%,33.72%,-19.79%,22.44%,54.07%,33.63%,112.37%,-,-,-,-
Shares Outstanding (Basic),9,9,9,9,9,9,9,9,9,-,-,-
Shares Change,-3.39%,-3.55%,0.42%,0.42%,3.44%,-,-,-,-,-,-,-
EPS (Basic),1.21,0.77,0.60,0.51,0.42,0.59,0.51,0.74,0.43,0.42,0.38,0.35
EPS (Diluted),1.18,0.75,0.59,0.50,0.41,0.58,0.50,0.73,0.43,0.41,0.37,0.34
EPS Growth,187.80%,29.31%,18.00%,-31.51%,-4.65%,41.46%,35.14%,114.71%,-,-,-,-
Free Cash Flow Per Share,1.08,1.31,0.80,0.97,0.60,0.63,0.21,1.40,0.35,-,-,-
Dividend Per Share,0.090,0.090,0.090,0.090,0.090,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,55.68%,46.43%,41.38%,39.23%,36.41%,40.35%,35.82%,46.77%,31.19%,31.63%,31.47%,30.73%
Profit Margin,44.98%,35.06%,31.72%,29.81%,26.85%,31.96%,27.53%,35.44%,27.01%,26.99%,25.81%,23.50%
Free Cash Flow Margin,39.81%,59.39%,42.58%,55.80%,35.84%,37.09%,13.22%,76.05%,24.86%,40.45%,86.70%,-109.59%
Effective Tax Rate,19.23%,24.50%,23.34%,24.01%,26.25%,20.81%,23.14%,24.23%,13.42%,14.67%,17.99%,23.53%
EBITDA,13.49,9.28,7.21,6.35,6.04,6.75,5.62,8.04,4.38,4.3,4.13,4.05
EBITDA Margin,57.28%,48.54%,43.77%,41.55%,39.93%,43.85%,39.61%,50.16%,35.65%,36.34%,36.46%,35.57%
Depreciation & Amortization,0.38,0.4,0.39,0.36,0.53,0.54,0.54,0.54,0.55,0.56,0.57,0.55
EBIT,13.11,8.87,6.81,6,5.5,6.21,5.08,7.5,3.83,3.74,3.56,3.5
EBIT Margin,55.68%,46.43%,41.38%,39.23%,36.41%,40.35%,35.82%,46.77%,31.19%,31.63%,31.47%,30.73%
