Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.13,0.3,0.32,0.55,0.15,0,0.01
Operating Expenses,0.13,0.3,0.32,0.55,0.15,0,0.01
Operating Income,-0.13,-0.3,-0.32,-0.55,-0.15,0,-0.01
Other Expense / Income,-1.67,-0.74,-0.11,-0.01,0.06,-,-
Pretax Income,1.54,0.44,-0.22,-0.54,-0.21,0,-0.01
Net Income,1.54,0.44,-0.22,-0.54,-0.21,0,-0.01
Shares Outstanding (Basic),26,26,26,26,10,6,6
Shares Outstanding (Diluted),26,26,26,26,10,6,6
Shares Change,154.45%,347.83%,347.83%,-,-,-,-
EPS (Basic),0.06,0.02,-0.01,-0.02,-0.02,-,-
EPS (Diluted),0.06,0.02,-0.01,-0.02,-0.02,-,-
Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.00,-0.11,-,-
EBITDA,1.54,0.44,-0.22,-0.54,-0.21,0,-0.01
EBIT,1.54,0.44,-0.22,-0.54,-0.21,0,-0.01
