Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Revenue,3.95,4.09,4.17,3.89,3.75,4.09,3.81,3.59,3.78,3.54,3.2,2.68,2.55
Revenue Growth (YoY),5.45%,-0.05%,9.32%,8.40%,-0.91%,15.52%,19.17%,34.03%,48.09%,-,-,-,-
Gross Profit,3.95,4.09,4.17,3.89,3.75,4.09,3.81,3.59,3.78,3.54,3.2,2.68,2.55
"Selling, General & Admin",2.32,2.52,2.2,2.17,1.94,2.07,2.11,2.16,1.91,2.94,2.07,1.73,1.59
Other Operating Expenses,1.18,1.73,1.05,0.95,0.89,1.08,0.92,0.7,0.87,1.27,0.7,0.7,0.64
Operating Expenses,3.5,4.25,3.25,3.12,2.84,3.14,3.03,2.85,2.79,4.2,2.77,2.42,2.23
Operating Income,0.45,-0.16,0.92,0.77,0.91,0.95,0.78,0.74,1,-0.66,0.43,0.26,0.32
Pretax Income,0.45,-0.16,0.92,0.77,0.91,0.95,0.78,0.74,1,-0.66,0.43,0.26,0.32
Income Tax,0.12,0.07,0.21,0.18,0.21,0.24,0.18,0.17,0.23,-0.18,0.1,0.06,0.06
Net Income,0.33,-0.23,0.7,0.59,0.7,0.71,0.6,0.57,0.76,-0.49,0.33,0.2,0.26
Net Income Growth,-52.29%,-,17.59%,4.26%,-9.03%,-,79.11%,182.61%,197.24%,-,-,-,-
Shares Outstanding (Basic),5,5,5,5,5,4,4,5,5,5,-,-,-
Shares Outstanding (Diluted),5,5,5,5,5,4,4,-,-,-,-,-,-
Shares Change,1.55%,11.18%,26.68%,4.22%,4.22%,-6.99%,-,-,-,-,-,-,-
EPS (Basic),0.07,-0.05,0.14,0.12,0.14,0.15,0.12,-,-,-,-,-,-
EPS (Diluted),0.07,-0.05,0.14,0.12,0.14,0.15,0.12,-,-,-,-,-,-
EPS Growth,-50.00%,-,16.67%,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,0.70,-0.01,0.19,0.47,0.20,0.39,0.24,-0.09,0.34,0.61,-,-,-
Dividend Per Share,-,-,-,0.050,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,11.46%,-3.91%,21.97%,19.79%,24.28%,23.14%,20.51%,20.58%,26.33%,-18.73%,13.51%,9.60%,12.58%
Profit Margin,8.40%,-5.70%,16.88%,15.27%,18.56%,17.29%,15.69%,15.87%,20.22%,-13.70%,10.44%,7.53%,10.07%
Free Cash Flow Margin,88.38%,-0.74%,21.77%,59.57%,25.77%,41.45%,24.61%,-11.93%,42.18%,81.02%,-91.38%,-76.80%,39.72%
Effective Tax Rate,26.69%,-,23.19%,22.84%,23.53%,25.26%,23.48%,22.87%,23.22%,-,22.72%,21.58%,19.95%
EBITDA,0.64,0.08,1.06,0.91,1.04,1.08,0.9,0.85,1.1,-0.56,0.53,0.36,0.42
EBITDA Margin,16.30%,2.07%,25.52%,23.25%,27.63%,26.45%,23.52%,23.68%,29.08%,-15.78%,16.72%,13.37%,16.40%
Depreciation & Amortization,0.19,0.24,0.15,0.13,0.13,0.14,0.12,0.11,0.1,0.1,0.1,0.1,0.1
EBIT,0.45,-0.16,0.92,0.77,0.91,0.95,0.78,0.74,1,-0.66,0.43,0.26,0.32
EBIT Margin,11.46%,-3.91%,21.97%,19.79%,24.28%,23.14%,20.51%,20.58%,26.33%,-18.73%,13.51%,9.60%,12.58%
