Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-22
"Selling, General & Admin",0.15,0.14,0.13,0.14,0.13,0.13,0.24,0,-
Other Operating Expenses,0.25,0.16,0.14,0.1,0.15,0.29,0.06,0.02,0
Operating Expenses,0.4,0.31,0.28,0.24,0.28,0.42,0.3,0.02,-
Operating Income,-0.4,-0.31,-0.28,-0.24,-0.28,-0.42,-0.3,-0.02,-
Other Expense / Income,-1.23,-0.34,0.4,-3.93,-0.06,-1.01,-0.74,-1.53,-
Pretax Income,0.84,0.03,-0.67,3.69,-0.22,0.58,0.44,1.52,-
Net Income,0.84,0.03,-0.67,3.69,-0.22,0.58,0.44,1.52,-
Net Income Growth,-,-94.07%,-,143.12%,-,-,-,-,-
Shares Outstanding (Basic),6,4,5,12,13,13,13,4,13
Shares Outstanding (Diluted),6,4,5,12,13,13,13,4,-
Shares Change,-52.83%,-66.94%,-66.34%,218.66%,5.09%,-,-,-,-
EPS (Basic),0.19,0.01,-0.15,-0.30,-0.04,0.04,0.03,-0.39,-
EPS (Diluted),0.19,0.01,-0.15,-0.30,-0.04,0.04,0.03,-0.39,-
EPS Growth,-,-75.00%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.02,-0.02,0.03,-0.00,-0.03,-0.02,-0.01,-0.11,-
EBITDA,0.84,0.03,-0.67,3.69,-0.22,0.58,0.44,1.52,-
EBIT,0.84,0.03,-0.67,3.69,-0.22,0.58,0.44,1.52,-
