Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",1.01,0.89,0.97,0.28,0.25,0.94,0.4,0.22,0.08,0
Operating Expenses,1.01,0.89,0.97,0.28,0.25,0.94,0.4,0.22,0.08,0
Operating Income,-1.01,-0.89,-0.97,-0.28,-0.25,-0.94,-0.4,-0.22,-0.08,-0
Other Expense / Income,-1.65,-3.28,-4.74,-2.16,-3.77,-0.38,-3.65,-6.33,0.33,-
Pretax Income,0.63,2.39,3.77,1.88,3.52,-0.57,3.25,6.12,-0.41,-0
Income Tax,0.45,0.65,0.36,0.02,0,0,0,0,0,0
Net Income,0.18,1.74,3.41,1.86,3.52,-0.57,3.25,6.12,-0.41,-0
Net Income Growth,-94.91%,-,4.64%,-69.56%,-,-,-,-,-,-
Shares Outstanding (Basic),16,42,42,42,42,40,42,42,14,6
Shares Outstanding (Diluted),16,42,42,42,42,40,42,42,14,6
Shares Change,-61.92%,3.52%,-,-,196.69%,544.34%,-,-,-,-
EPS (Basic),0.01,0.04,0.08,0.04,0.08,-0.03,0.08,0.15,-0.03,-
EPS (Diluted),0.01,0.04,0.08,0.04,0.08,-0.03,0.08,0.15,-0.03,-
EPS Growth,-87.50%,-,0%,-73.33%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.06,-0.00,-0.00,-0.01,-0.01,-0.00,-0.00,-0.00,-0.07,-
Effective Tax Rate,71.61%,27.10%,9.59%,0.93%,-,-,-,-,-,-
EBITDA,0.63,2.39,3.77,1.88,3.52,-0.57,3.25,6.12,-0.41,-0
EBIT,0.63,2.39,3.77,1.88,3.52,-0.57,3.25,6.12,-0.41,-0
