Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",1.51,0.23,-0.22,0.28,0.37,0.01,-0
Operating Expenses,1.51,0.23,-0.22,0.28,0.37,0.01,-0
Operating Income,-1.51,-0.23,0.22,-0.28,-0.37,-0.01,0
Other Expense / Income,-0.99,-0.53,0.33,-0.01,0.7,-,0
Pretax Income,-0.52,0.3,-0.11,-0.26,-1.07,-0.01,-0
Income Tax,0.2,0.07,0,0,0,0,0
Net Income,-0.72,0.23,-0.11,-0.26,-1.07,-0.01,-0
Shares Outstanding (Basic),14,14,14,14,4,3,3
Shares Outstanding (Diluted),14,14,14,14,4,3,3
Shares Change,251.52%,474.61%,474.61%,-,-,-,-
EPS (Basic),-0.05,0.02,-0.01,-0.02,-0.26,-,-
EPS (Diluted),-0.05,0.02,-0.01,-0.02,-0.26,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.02,-0.19,-0.00,-
Effective Tax Rate,-,22.75%,-,-,-,-,-
EBITDA,-0.52,0.3,-0.11,-0.26,-1.07,-0.01,-0
EBIT,-0.52,0.3,-0.11,-0.26,-1.07,-0.01,-0
