Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-22
Revenue,91.31,234.15,90.19,171.26,93.85,147.56,55.72,83.98,2.93,0,0,0
Revenue Growth (YoY),-2.71%,58.68%,61.88%,103.92%,3099.77%,-,-,-,-,-,-,-
Cost of Revenue,19.49,44.83,11.42,18.53,13.59,28.26,6.13,9.29,0.72,0,0,0
Gross Profit,71.82,189.33,78.77,152.73,80.26,119.31,49.59,74.69,2.21,0,0,0
"Selling, General & Admin",8.58,9.34,1.78,0.68,2.77,5.2,1.76,0.27,0.02,0.2,0.05,0.01
Other Operating Expenses,33.85,49.31,25.79,32.53,16.13,46.58,15.79,31.69,1.23,0.05,0.05,0
Operating Expenses,42.43,58.65,27.56,33.21,18.9,51.79,17.56,31.97,1.25,0.25,0.11,0.01
Operating Income,29.39,130.68,51.21,119.52,61.36,67.52,32.03,42.72,0.96,-0.25,-0.11,-0.01
Interest Expense / Income,0.34,0.8,0.48,0.71,0.53,1.46,0.35,0.53,0.04,0,0,0
Other Expense / Income,-18.6,5.82,-6.08,24.66,28.4,14.27,6.56,10.81,0.75,-1.38,-1.29,-
Pretax Income,47.65,124.07,56.82,94.16,32.44,51.79,25.12,31.38,0.17,1.13,1.18,-0.01
Income Tax,10.79,12.85,0,0,0,0,0,0,0,0,0,0
Net Income,36.87,111.22,56.82,94.16,32.44,51.79,25.12,31.38,0.17,1.13,1.18,-0.01
Net Income Growth,13.63%,114.75%,126.17%,200.04%,19241.72%,4495.66%,2026.45%,-,-,-,-,-
Shares Outstanding (Basic),133,133,131,43,133,133,43,44,44,24,6,2
Shares Outstanding (Diluted),133,-,-,-,133,133,43,44,44,24,6,2
Shares Change,0.06%,-,204.50%,-2.80%,199.48%,455.32%,569.74%,2365.78%,-,-,-,-
EPS (Basic),0.28,-,-,-,0.24,0.79,0.02,-0.48,0.54,-0.08,0.18,-0.00
EPS (Diluted),0.28,-,-,-,0.24,0.79,0.02,-0.48,0.54,-0.08,0.18,-0.00
EPS Growth,16.67%,-,-,-,-55.56%,-,-88.89%,-,-,-,-,-
Free Cash Flow Per Share,-0.36,0.67,0.14,0.21,0.09,0.20,-0.05,-0.75,0.01,-0.02,-0.00,-
Gross Margin,78.66%,80.85%,87.34%,89.18%,85.52%,80.85%,89.00%,88.93%,75.31%,-,-,-
Operating Margin,32.19%,55.81%,56.78%,69.79%,65.39%,45.76%,57.49%,50.87%,32.60%,-,-,-
Profit Margin,40.37%,47.50%,62.99%,54.98%,34.57%,35.10%,45.09%,37.37%,5.72%,-,-,-
Free Cash Flow Margin,-53.06%,37.80%,20.31%,5.37%,12.21%,17.97%,-4.14%,-39.83%,19.40%,-,-,-
Effective Tax Rate,22.63%,10.36%,-,-,-,-,-,-,-,-,-,-
EBITDA,81.84,174.17,83.08,125.09,49.09,102.11,41.27,60.73,1.4,1.13,1.18,-0.01
EBITDA Margin,89.63%,74.38%,92.11%,73.04%,52.31%,69.20%,74.07%,72.31%,47.69%,-,-,-
Depreciation & Amortization,33.85,49.31,25.79,30.22,16.13,48.86,15.79,28.82,1.19,0,0,0
EBIT,47.99,124.86,57.29,94.86,32.97,53.25,25.47,31.91,0.21,1.13,1.18,-0.01
EBIT Margin,52.56%,53.32%,63.52%,55.39%,35.13%,36.08%,45.72%,38.00%,7.16%,-,-,-
