Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
"Selling, General & Admin",1.28,1.06,0.26,0.53,0.01,0
Other Operating Expenses,0.05,0.05,0.05,0.05,0.06,0
Operating Expenses,1.33,1.11,0.31,0.58,0.07,0
Operating Income,-1.33,-1.11,-0.31,-0.58,-0.07,-0
Other Expense / Income,-0.66,-0.35,-0.1,-0.01,-0,-
Pretax Income,-0.67,-0.76,-0.21,-0.57,-0.07,-0
Income Tax,0.13,0.05,0,0,0,0
Net Income,-0.8,-0.82,-0.21,-0.57,-0.07,-0
Shares Outstanding (Basic),2,2,2,2,2,1
Shares Outstanding (Diluted),11,10,10,10,2,1
Shares Change,505.83%,592.50%,-,-,-,-
EPS (Basic),-0.08,-0.08,-0.02,-0.06,-0.04,-
EPS (Diluted),-0.08,-0.08,-0.02,-0.06,-0.04,-
Free Cash Flow Per Share,-0.09,-0.16,-0.05,-0.15,-0.15,-
EBITDA,-0.67,-0.76,-0.21,-0.57,-0.07,-0
EBIT,-0.67,-0.76,-0.21,-0.57,-0.07,-0
