Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-10-19
"Selling, General & Admin",0.34,0.24,0.24,0.36,-0.71,0.23,0.3,1.25,0,0
Operating Expenses,0.34,0.24,0.24,0.36,-0.71,0.23,0.3,1.25,0,0
Operating Income,-0.34,-0.24,-0.24,-0.36,0.71,-0.23,-0.3,-1.25,-0,-0
Other Expense / Income,-2.59,-2.44,-1.32,-6.69,-4.12,-1.83,3.26,-10.28,-,-
Pretax Income,2.25,2.2,1.08,6.33,4.82,1.6,-3.56,9.03,-0,-0
Income Tax,0.48,0.24,0.02,0,0,0,0,0,0,0
Net Income,1.78,1.95,1.06,6.33,4.82,1.6,-3.56,9.03,-0,-0
Net Income Growth,-63.17%,22.28%,-,-29.85%,-,-,-,-,-,-
Shares Outstanding (Basic),34,35,35,35,35,35,35,28,6,5
Shares Outstanding (Diluted),34,35,35,35,35,35,35,28,6,5
Shares Change,-2.30%,-,-,22.53%,478.57%,590.00%,-,-,-,-
EPS (Basic),0.05,0.06,0.03,0.18,0.14,0.05,-0.10,0.32,-,-
EPS (Diluted),0.05,0.06,0.03,0.18,0.14,0.05,-0.10,0.32,-,-
EPS Growth,-64.29%,20.00%,-,-43.75%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.02,-0.01,-0.00,-0.01,-0.00,-,-0.00,-0.04,-,-
Effective Tax Rate,21.19%,11.08%,2.04%,-,-,-,-,-,-,-
EBITDA,2.25,2.2,1.08,6.33,4.82,1.6,-3.56,9.03,-0,-0
EBIT,2.25,2.2,1.08,6.33,4.82,1.6,-3.56,9.03,-0,-0
