Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30
Revenue,58.38,56.04,59.14,44.57,47.51,43.97,43.76,42.66,40.85,43.51,42.78,45.28,50.55,53.47,55.78,56.87,55.19,56.31,51.28,52.45,47.48,49.51,42.65,38.74,34.1,33.16,28.96,25.75,23.11,20.69,19.6,15.93,12.98,5.89,10.52,9.94,6.63,3.8,1.15,0.02
Revenue Growth (YoY),22.87%,27.44%,35.15%,4.48%,16.31%,1.05%,2.29%,-5.78%,-19.18%,-18.61%,-23.30%,-20.38%,-8.41%,-5.05%,8.77%,8.42%,16.22%,13.74%,20.24%,35.38%,39.25%,49.32%,47.28%,50.47%,47.55%,60.29%,47.73%,61.68%,78.06%,251.49%,86.29%,60.15%,95.67%,54.71%,818.95%,49620.00%,-,-,-,-
Cost of Revenue,12.71,12.66,13.71,11.57,12.28,11.81,11.75,11.41,11.06,11.54,11.46,11.73,12.47,13.09,13.73,13.85,13.53,13.83,12.99,13.25,12.55,13.1,9.99,9.13,8.19,8.16,7.09,6.26,5.75,5.28,5.04,4.04,3.44,1.81,2.42,2.12,1.6,0.45,2.15,0.02
Gross Profit,45.67,43.38,45.43,33,35.23,32.17,32.01,31.25,29.79,31.97,31.33,33.54,38.07,40.38,42.05,43.02,41.66,42.48,38.29,39.2,34.93,36.41,32.66,29.61,25.91,25,21.86,19.49,17.36,15.41,14.57,11.89,9.54,4.07,8.1,7.83,5.03,3.36,-1.01,-0
"Selling, General & Admin",1.27,1.49,1.42,1.32,1.34,1.34,1.41,1.53,1.21,1.33,1.52,1.25,1.17,1.35,1.11,1.12,1.26,1.24,1.44,1.49,1.27,1.42,0.95,1.73,0.92,0.98,1.1,1.14,1.05,0.98,0.9,1.18,0.74,1.01,0.67,0.91,0.86,0.7,0.93,0.79
Other Operating Expenses,0.55,1.15,0.92,0.64,0.76,0.64,0.56,0.51,0.41,0.17,0.55,0.37,0.16,0.33,0.11,0.23,0.28,0.31,0.21,0.22,0.2,0.23,0.18,0.17,0.34,0.25,0.18,0.2,0.15,0.14,0.15,0.19,0.11,0.07,0.08,0.22,0.26,0.16,0.3,1.62
Operating Expenses,1.82,2.64,2.34,1.96,2.1,1.97,1.97,2.05,1.62,1.5,2.08,1.62,1.33,1.68,1.22,1.35,1.54,1.56,1.65,1.7,1.46,1.65,1.14,1.9,1.26,1.23,1.28,1.34,1.2,1.13,1.05,1.37,0.86,1.08,0.75,1.13,1.11,0.86,1.23,2.41
Operating Income,43.85,40.74,43.09,31.04,33.14,30.19,30.04,29.2,28.17,30.47,29.25,31.92,36.74,38.7,40.84,41.67,40.12,40.92,36.64,37.5,33.47,34.76,31.52,27.72,24.64,23.77,20.58,18.15,16.16,14.28,13.51,10.52,8.69,3,7.35,6.7,3.92,2.5,-2.24,-2.41
Interest Expense / Income,17.28,16.79,11.49,8.58,7.62,9.2,7.52,7.06,6.98,10.67,7.29,9.44,12.18,12.03,13.54,13.03,11.99,10.91,10.37,8.71,7.82,7.82,5.92,5.74,5.03,4.99,4.05,3.83,3.6,3.02,2.66,2.13,1.78,1.53,1.14,0.63,0.35,0.27,0.08,0
Other Expense / Income,-1.42,11.49,-6.23,17.79,-5.16,-12.97,-25.1,-20.73,-14.71,-18.36,-11.65,-33.68,145.66,-0.16,36.29,18.89,-5.6,31.18,20.19,15.69,4.57,-0.04,0.06,6.48,3.44,1.39,-12.64,-11.63,15.27,21.25,1.2,-0.82,-2.88,5.4,5.28,1.47,-0.45,0.47,-1.15,0.1
